spot_id,B-cells,CAFs,Cancer Epithelial,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
mix_0000_depth100,0.0,0.0,0.5369505063561205,0.07928029878268882,0.0,0.009219162177615071,0.0,0.0,0.2545689212462163,0.0,0.0,0.0,0.0
mix_0000_depth25,0.0,0.0,0.5378697431454791,0.11955692800130516,0.0,0.018516790335167753,0.0,0.0,0.21325923334904617,0.0,0.0,0.0,0.0
mix_0001_depth100,0.0,0.0,0.37982773210668025,0.0,0.0,0.0,0.0,0.0,0.4391969320216425,0.0,0.0,0.0,0.0
mix_0001_depth25,0.0,0.0,0.4173625005337857,0.0,0.0,0.0,0.0,0.0,0.4282078915769995,0.0,0.0,0.0,0.0
mix_0002_depth100,0.0,0.0,0.48735333363611505,0.09752707350058991,0.0,0.013154865217246651,0.0,0.0,0.2078987619185553,0.0,0.0,0.0,0.0
mix_0002_depth25,0.0,0.0,0.49469425002680784,0.06809218665971853,0.0,0.01934634367967637,0.0,0.0,0.2132608263682788,0.0,0.0,0.0,0.0
mix_0003_depth100,0.0,0.0,0.17516908746355578,0.20878886245280498,0.0,0.08082100788040265,0.0,0.0,0.3219155581837909,0.0,0.0,0.0,0.0
mix_0003_depth25,0.0,0.0,0.17663993185986515,0.21769258056645224,0.0,0.08042563528877365,0.0,0.0,0.3135003219756755,0.0,0.0,0.0,0.0
mix_0004_depth100,0.0,0.0,0.24567027367226632,0.0,0.0,0.07612374566539606,0.0,0.0,0.46656675580079027,0.0,0.0,0.0,0.0
mix_0004_depth25,0.0,0.0,0.22051566009574206,0.0,0.0,0.07951296021192743,0.0,0.0,0.4736280629883167,0.0,0.0,0.0,0.0
mix_0005_depth100,0.0,0.0,0.3498648047826988,0.0,0.0,0.1463456516285425,0.0,0.0,0.3140616430810434,0.0,0.0,0.0,0.0
mix_0005_depth25,0.0,0.0,0.3426427366028905,0.0,0.0,0.14887855783360301,0.0,0.0,0.3144374604837649,0.0,0.0,0.0,0.0
mix_0006_depth100,0.0,0.0,0.35433079532218664,0.048772635710433804,0.0,0.013729571777428779,0.0,0.0,0.3764696321608258,0.0,0.0,0.0,0.0
mix_0006_depth25,0.0,0.0,0.3679950060271274,0.028933007590575332,0.0,0.0070585936114664965,0.0,0.0,0.3921004160571886,0.0,0.0,0.0,0.0
mix_0007_depth100,0.0,0.0,0.6368313080730991,0.0,0.0,0.0,0.0,0.0,0.18845780031952677,0.0,0.0,0.0,0.0
mix_0007_depth25,0.0,0.0,0.6006790554952047,0.0,0.0,0.0,0.0,0.0,0.21327586931102363,0.0,0.0,0.0,0.0
mix_0008_depth100,0.0,0.0,0.322827061080291,0.03432950609189418,0.0,0.021242803592690408,0.0,0.0,0.409365197349033,0.0,0.0,0.0,0.0
mix_0008_depth25,0.0,0.0,0.27034739332089597,0.035178394153365676,0.0,0.02154888015195312,0.0,0.0,0.458628459055262,0.0,0.0,0.0,0.0
mix_0009_depth100,0.0,0.0,0.3669441338400048,0.0,0.0,0.008215104957214421,0.0,0.027204567104846325,0.4526357296967174,0.0,0.0,0.0,0.0
mix_0009_depth25,0.0,0.0,0.39007263876107634,0.014960621527588253,0.0,0.011730968021777713,0.0,0.01966113946429194,0.3995848598258344,0.0,0.0,0.0,0.0
mix_0010_depth100,0.0,0.0,0.3646569684209771,0.062166192607321695,0.0,0.07703227869798698,0.0,0.0,0.20436008908602554,0.10212669910867916,0.0,0.0,0.0
mix_0010_depth25,0.0,0.0,0.33283416649275727,0.08031129320169368,0.0,0.06687524459024434,0.0,0.0,0.24529285817458724,0.08836538359781447,0.0,0.0,0.0
mix_0011_depth100,0.0,0.0,0.46499680363311974,0.0,0.0,0.026332949303600577,0.0,0.0,0.34655823654167955,0.0,0.0,0.0,0.0
mix_0011_depth25,0.0,0.0,0.48212120576204476,0.0,0.0,0.024165947638474298,0.0,0.0,0.32595254613331376,0.006462856998562315,0.0,0.0,0.0
mix_0012_depth100,0.0,0.0,0.3471276882580629,0.022241759188324356,0.0,0.00971893576208415,0.0,0.0,0.4912531625940188,0.0,0.0,0.0,0.0
mix_0012_depth25,0.0,0.0,0.33496517756377897,0.009970329373395091,0.0,0.0007513738954615933,0.0,0.0,0.5271502677084797,0.0,0.0,0.0,0.0
mix_0013_depth100,0.0,0.0,0.3015743234741409,0.0,0.0,0.0,0.0,0.0,0.6323429654708266,0.0,0.0,0.0,0.0
mix_0013_depth25,0.0,0.0,0.3214779567448952,0.0,0.0,0.0,0.0,0.0,0.6143389232650596,0.0,0.0,0.0,0.0
mix_0014_depth100,0.0,0.0,0.44836395134844936,0.1163130791951173,0.0,0.029174898120092517,0.0,0.0019876207172790598,0.2450677484881645,0.0,0.0,0.0,0.0
mix_0014_depth25,0.0,0.0,0.4486751581584871,0.1394144177822122,0.0,0.014263817591127732,0.0,0.005534779224166332,0.2348214661982439,0.0,0.0,0.0,0.0
