"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"SIX2",0,0,3.12841417234407e-06,1.08491122822366e-07,0,0,0,0,0,0,0,0,1.63182207403587e-06,0,0
"SRBD1",3.74206681834511e-06,1.12895583963723e-05,2.40347852788425e-06,4.97274245942988e-06,4.37395173877092e-06,1.15426427892972e-05,6.8101116825834e-06,8.4854911006566e-06,0,2.29726625315874e-05,3.05472584047577e-06,1.04988888203996e-05,8.85236090591627e-06,2.03421360552301e-05,1.48433797928526e-05
"PRKCE",1.0252532872445e-05,9.08309757259732e-06,2.47617581092925e-06,1.44407595886057e-06,1.40299688300983e-06,3.60282461449777e-05,1.03016142234332e-05,3.06346736360893e-06,4.18633956489218e-05,0,6.10281785748406e-06,0,5.18392844859066e-06,0,2.1683131391103e-06
"EPAS1",1.44855969679198e-05,6.01929721833291e-05,1.28112937187507e-05,6.35744580788752e-06,2.56140976254954e-05,3.60282461449777e-05,0.000490625656664547,3.14154497463258e-05,3.76718779431155e-06,1.0498687664042e-05,2.87541317399426e-05,8.82654473606675e-06,0.000318880773920418,2.02806499041812e-05,9.87318287423901e-06
"ATP6V1E2",6.55057826593282e-06,2.6055849450297e-06,4.05868699040648e-07,3.77836148007613e-06,5.52696582752734e-06,0,1.01762942088403e-06,5.30891704230064e-06,0,1.24564025909317e-05,1.29939827568681e-05,7.71399235103712e-06,2.73209772020188e-06,1.7303278645967e-06,1.10290549423401e-06
"RHOQ",3.52871862180373e-06,3.61318182730552e-05,1.58467053114987e-06,4.35515270243346e-06,2.69153530649268e-06,5.11914817374389e-06,4.19141724314704e-06,5.23310132024921e-05,4.91521258294421e-06,1.09938434476693e-05,1.57631655729058e-05,9.78910497557334e-06,2.70888062798719e-05,1.01755530855866e-05,9.95876525630667e-06
"RP11-417F21.1",0,0,0,0,0,0,0,6.37574961353056e-07,0,0,0,0,3.240066499136e-07,0,1.90730497806599e-06
"PIGF",3.69256215346867e-06,1.46482383020997e-05,2.3777343020785e-05,4.00498733528343e-05,3.67709801311419e-05,8.95726183931562e-05,3.26026143283897e-05,2.15079380225396e-05,0,3.14609063139488e-05,0.000111183121330784,1.61059973005156e-05,1.2745500218604e-05,1.01810883549886e-05,1.08334115360608e-05
"CRIPT",1.39150761709246e-05,3.67623310510375e-05,1.97968384014147e-05,4.92274470439476e-05,3.67420958679299e-05,2.33712360894827e-05,2.85327948555671e-05,2.28420342654451e-05,3.0495486352906e-05,4.52205791028302e-05,5.62892715234401e-05,1.51550498392711e-05,3.83188556954186e-05,3.49691935769642e-05,2.77779531407204e-05
"SOCS5",3.75678580488442e-06,1.895141455691e-05,6.26032490037373e-06,3.85431657023321e-06,7.11902991392052e-06,0,1.75698910952188e-05,4.92339641002477e-06,0,0,1.48817174659877e-05,5.22749997836444e-06,7.48638129405533e-06,7.6185368142936e-07,0
"RP11-333I13.1",0,0,0,1.79011284871398e-07,0,0,0,0,0,0,4.80695277649592e-07,9.01261405463086e-07,0,0,0
"LINC01119",0,1.23042680649992e-06,0,1.93001309320882e-07,0,0,1.81293076801656e-06,3.29101093273832e-07,0,0,1.22995426051554e-06,0,0,0,0
"AC016722.3",0,0,0,0,0,0,0,0,0,0,0,0,9.71356635531449e-08,0,0
"AC016722.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCFD2",2.42951253346425e-05,6.97549754691964e-05,4.30542185780534e-05,2.4363777042989e-05,5.37669401264887e-05,5.23475116040138e-06,6.44530401357407e-05,3.16559248493268e-05,2.12660548689088e-05,9.49938254013489e-06,6.90900445540191e-05,2.77623122977617e-05,3.95541584665909e-05,2.068105739756e-05,2.49599653108543e-05
"TTC7A",2.13281575900596e-05,6.06972310501371e-06,1.31800861522677e-05,6.0497538363519e-07,2.71177270153555e-06,9.00225123906545e-06,1.8122226393394e-06,1.32664421505901e-05,1.56330719930384e-05,2.29726625315874e-05,4.94169665925151e-06,6.19187663517623e-06,5.22414243281476e-06,1.40385581724626e-05,1.22656118762218e-05
"RP11-15I20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC073283.7",0,0,0,0,0,0,0,5.48317761108918e-07,0,0,0,0,0,0,0
"CALM2",0.000523669378158173,0.000751036286861127,0.000771226634732999,0.000671301181831866,0.00112785088532191,0.00133574015802402,0.000639072179314381,0.00072226658402905,0.000489035179785298,0.000371050605298136,0.000914281471318515,0.000143798039231099,0.00147344291344683,0.000667490202583265,0.000546043226418386
"AC073283.4",0,0,0,1.82366734049347e-06,0,0,3.5001599613888e-06,2.32761670670167e-07,0,0,2.60275622323995e-06,0,0,2.4474148446479e-07,0
"BCYRN1",0,1.01890683523461e-06,4.15560064843993e-07,5.56535551861482e-06,1.70955129525874e-06,0,6.10191674481811e-06,2.69708984006257e-07,0,0,7.49258982865946e-07,0,1.52983865299028e-06,0,0
"EPCAM",5.87731195991513e-05,1.31555564524222e-05,0.000120908475287177,0.000301591621337648,0.000194092721543468,2.64479588465643e-05,1.69801507940785e-05,1.36323842087908e-05,1.09960882290372e-05,2.78167848853298e-05,0.000192737910914217,1.64824257596156e-05,1.43473928823985e-05,6.03438437778734e-05,2.92542878344464e-05
"MSH2",1.0131833183789e-05,1.43432572368889e-05,4.14848869905191e-06,1.04320915852308e-05,1.17201487854312e-05,8.30889352371859e-05,1.04183342410562e-05,6.65354327975073e-06,6.69344042838019e-06,1.99691021733752e-05,3.6851108628669e-06,1.70052304469517e-06,6.75097488121833e-06,7.67873794086538e-06,1.34687746623657e-05
"KCNK12",0,0,1.91475253642482e-07,4.47756355912991e-07,2.09072797684644e-07,1.58759642663796e-06,0,0,0,0,4.80695277649592e-07,7.15162703313449e-06,6.65349452177875e-08,3.67320932225707e-06,4.40244968380491e-06
"MSH6",2.47333108218821e-05,1.33764082051834e-05,9.98459871548457e-06,9.22652318013551e-06,1.75407151771286e-05,1.75106562018044e-05,1.33238096945945e-05,1.24246804227327e-05,3.99557283912744e-05,3.17964926318643e-05,1.19608782977198e-05,2.08074289344607e-06,1.45053004809141e-05,9.49084329395623e-06,6.00985951862559e-06
"FBXO11",1.13349897531693e-06,4.2075176377715e-05,6.14128956231834e-06,1.06426374039912e-05,1.8555017955448e-05,0,2.79057226561054e-05,1.86939619751698e-05,6.73627484001347e-06,2.29726625315874e-05,1.29869562066196e-05,8.00785380466508e-06,1.67809025719938e-05,1.16878931092282e-05,2.94137361739664e-05
"AC079807.2",0,4.173951302629e-06,3.35839705052137e-07,2.43334579206379e-07,1.7332404316462e-06,0,8.12978384583267e-07,0,0,0,0,5.59520692194239e-07,1.40202271247877e-06,4.98463237837746e-07,0
"AC079807.4",0,0,0,0,0,0,0,0,0,0,0,0,1.03707587744916e-07,7.58538872083039e-07,0
"FOXN2",4.41466049697843e-05,9.24724821079256e-06,8.20299334095002e-06,2.45036566909288e-06,2.55560794427914e-06,3.54666176093614e-05,2.51282570078864e-05,3.19836602943552e-05,1.61336131560145e-05,5.76816002540951e-05,1.8299066628658e-06,7.64990938250116e-06,2.37165761489939e-05,6.81057246977614e-05,5.05884031829925e-05
"RP11-191L17.1",3.39103915953221e-06,0,1.19649198916513e-06,8.36735265758263e-07,0,0,5.44023711795549e-06,3.27211167744088e-07,7.18390804597701e-06,0,1.20123005958101e-06,0,5.36209374635439e-07,2.62129323881088e-06,3.4054245516252e-06
