"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"TMEM131",5.41058265686477e-05,2.65523267533091e-05,8.95237774135859e-06,0,1.90262012849147e-05,1.83814556785004e-05,1.750862859413e-05,3.45532580292126e-05,1.87943034437138e-05,6.88586619745838e-06,1.68741679550602e-05,1.50548863983003e-05,1.78523239067678e-05
"INPP4A",2.67322938454651e-05,1.91346850489146e-05,4.62506169800113e-06,0,1.07115846135903e-05,1.57551848912168e-05,4.29337754720724e-05,3.04695243123482e-05,4.88991372870746e-06,1.4075759781391e-05,1.03187909961854e-05,2.27228795649726e-05,2.92924541613039e-05
"COA5",1.54441681528684e-05,2.73364063357823e-05,4.07057275551846e-05,1.51157110267875e-05,3.37060127119325e-05,2.69828227970916e-05,2.67747484073621e-05,3.56377395537797e-05,3.4013409101796e-05,1.08551381054972e-05,3.9457514287001e-05,4.78046011261696e-05,2.14415455949519e-05
"UNC50",3.17131270320765e-05,4.94887781414715e-05,6.5528435700625e-05,7.18147001628258e-06,4.44842672751345e-05,4.01260352660696e-05,3.43192397630447e-05,3.5253274430453e-05,5.20544212433875e-05,2.43694424543321e-05,4.61463826583298e-05,1.1064381642106e-05,3.60711968945773e-05
"MGAT4A",1.18035683285006e-05,5.22264440295708e-06,1.35744526274243e-05,7.24448153218276e-05,6.52265653641509e-05,8.01032030398563e-05,5.83911863469726e-05,0.000117213429077717,1.98100778721067e-05,4.91695093201977e-06,2.68640981141108e-06,4.81907405240697e-05,7.97502882981745e-05
"AC109826.1",1.61978732192463e-06,4.23699045081861e-07,1.28856207232222e-08,6.48067139755679e-06,0,7.36074241663559e-06,7.24952878062926e-06,0,1.26626020786912e-07,0,0,1.92291888241181e-06,2.46113256398329e-06
"KIAA1211L",0,1.02052820843328e-06,7.52589727432083e-07,4.04422767384113e-06,2.2474669641511e-05,8.57032995107812e-06,0,0,6.84308124703337e-06,0,1.197493749218e-06,2.38439467947816e-06,0
"TSGA10",1.94873163550114e-05,3.26842392717834e-06,6.84636705464459e-06,0,3.92887802137642e-06,4.19105337481517e-06,1.46377956533992e-05,7.05925538974149e-06,1.16496296647171e-05,1.57670540303434e-06,3.72679753672771e-06,7.70301166834501e-06,5.89007876335162e-06
"C2orf15",1.92241147295167e-06,1.4861406976955e-07,8.68294593419625e-06,0,2.95893344542696e-07,7.01060704846433e-08,0,0,1.27728480746659e-06,0,1.91866466068382e-07,2.13009507016691e-06,4.62807712691618e-06
"RP11-111H13.1",0,2.06387660380438e-07,3.61452019111274e-07,1.58759642663796e-06,1.91044514805324e-07,0,0,0,0,0,0,0,0
