donor_id,variant,spot_id,predicted_CD8_pct,source_CD4_detected,source_CD8_detected,source_T_detected,source_states
CID3948,baseline,CID3948_mix006_depth100,37.9200483307266,0,2,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,baseline,CID3948_mix009_depth100,46.544626994868096,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 1, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,baseline,CID3948_mix012_depth100,0.0280216241377,0,0,8,"{""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c1_CD4+_IL7R"": 2}"
CID3948,donor_balanced,CID3948_mix000_depth100,28.3491037967663,0,0,9,"{""T_cells_c2_CD4+_T-regs_FOXP3"": 5, ""T_cells_c1_CD4+_IL7R"": 4, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,donor_balanced,CID3948_mix003_depth100,59.8426345904161,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2}"
CID3948,donor_balanced,CID3948_mix006_depth100,42.823179872664404,0,2,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,donor_balanced,CID3948_mix009_depth100,45.4077303272781,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 1, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,donor_balanced,CID3948_mix012_depth100,32.8317416870943,0,0,8,"{""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c1_CD4+_IL7R"": 2}"
CID3948,epithelial_split,CID3948_mix000_depth100,25.871927438555296,0,0,9,"{""T_cells_c2_CD4+_T-regs_FOXP3"": 5, ""T_cells_c1_CD4+_IL7R"": 4, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,epithelial_split,CID3948_mix003_depth100,52.53675207992951,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2}"
CID3948,epithelial_split,CID3948_mix006_depth100,33.312986952240095,0,2,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,epithelial_split,CID3948_mix009_depth100,47.3044399335393,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 1, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,epithelial_split,CID3948_mix012_depth100,0.03490293293076,0,0,8,"{""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c1_CD4+_IL7R"": 2}"
CID3948,balanced_split,CID3948_mix000_depth100,36.552272529125,0,0,9,"{""T_cells_c2_CD4+_T-regs_FOXP3"": 5, ""T_cells_c1_CD4+_IL7R"": 4, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,balanced_split,CID3948_mix003_depth100,58.380878170321004,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2}"
CID3948,balanced_split,CID3948_mix006_depth100,42.1940313933785,0,2,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,balanced_split,CID3948_mix009_depth100,58.3461570863643,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 1, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1}"
CID3948,balanced_split,CID3948_mix012_depth100,37.9136361224023,0,0,8,"{""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2, ""T_cells_c0_CD4+_CCR7"": 2, ""T_cells_c1_CD4+_IL7R"": 2}"
CID4461,baseline,CID4461_mix000_depth100,0.008686813388348591,0,0,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,baseline,CID4461_mix003_depth100,0.00971183324596929,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 8, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,baseline,CID4461_mix006_depth100,0.008957819472284941,0,0,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2}"
CID4461,baseline,CID4461_mix009_depth100,0.00901707071176188,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 3, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2}"
CID4461,baseline,CID4461_mix012_depth100,0.00883804002673233,1,0,8,"{""T_cells_c1_CD4+_IL7R"": 7, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,donor_balanced,CID4461_mix000_depth100,0.00857719095162116,0,0,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,donor_balanced,CID4461_mix003_depth100,5.94748240776127,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 8, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,donor_balanced,CID4461_mix006_depth100,2.02978771789941,0,0,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2}"
CID4461,donor_balanced,CID4461_mix009_depth100,4.0349180067164,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 3, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2}"
CID4461,donor_balanced,CID4461_mix012_depth100,0.008580046647581649,1,0,8,"{""T_cells_c1_CD4+_IL7R"": 7, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,epithelial_split,CID4461_mix000_depth100,0.00519144175113885,0,0,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,epithelial_split,CID4461_mix003_depth100,0.008608556174450431,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 8, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,epithelial_split,CID4461_mix006_depth100,0.00787128424244414,0,0,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2}"
CID4461,epithelial_split,CID4461_mix009_depth100,0.006384203856960631,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 3, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2}"
CID4461,epithelial_split,CID4461_mix012_depth100,0.00774702024303971,1,0,8,"{""T_cells_c1_CD4+_IL7R"": 7, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,balanced_split,CID4461_mix000_depth100,2.0988104525508597,0,0,8,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c3_CD4+_Tfh_CXCL13"": 4, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,balanced_split,CID4461_mix003_depth100,4.11657758411149,0,1,8,"{""T_cells_c1_CD4+_IL7R"": 8, ""T_cells_c3_CD4+_Tfh_CXCL13"": 1, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
CID4461,balanced_split,CID4461_mix006_depth100,4.26668727439526,0,0,9,"{""T_cells_c1_CD4+_IL7R"": 6, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 2}"
CID4461,balanced_split,CID4461_mix009_depth100,5.01540824671841,1,1,9,"{""T_cells_c1_CD4+_IL7R"": 5, ""T_cells_c2_CD4+_T-regs_FOXP3"": 3, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2}"
CID4461,balanced_split,CID4461_mix012_depth100,0.007638198683635,1,0,8,"{""T_cells_c1_CD4+_IL7R"": 7, ""T_cells_c3_CD4+_Tfh_CXCL13"": 2, ""T_cells_c2_CD4+_T-regs_FOXP3"": 1}"
