gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5
RP11-34P13.7,-0.1790366023087499,0.0,0.0,0.0,0.0,0.0,0.0,-0.11585884724565344,0.004180997034000703,False,False
FO538757.3,-0.10360306250292778,0.0,0.0,0.0,0.0,0.0,0.0,-0.06642620609237665,0.0023559790035151207,False,False
FO538757.2,0.44472089023738215,0.2207803708518288,-0.8198884605825957,0.5713106367441403,0.33159514888999325,-0.16348068938863985,0.0,0.3587870955413708,0.1474287541451521,True,False
AP006222.2,0.5944066178157025,-0.13326810380377802,0.0,0.0,0.0,0.04253536087881423,0.0,0.225455328060741,0.07230761104682074,False,False
RP4-669L17.10,0.0,-0.6806811052978461,0.0,0.0,0.0,0.0,0.0,-0.28846465814722716,0.0110669907081546,False,False
RP5-857K21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RP11-206L10.9,0.88652220238565,0.33973469895300795,0.27496170952502946,1.74304864621805,1.2385443822224516,-0.22399243662854346,0.0,0.7016203145996166,0.03131651628974121,True,False
LINC00115,-0.08860331847224338,0.40305172176877185,0.27429266865431273,-0.6624958421599116,-0.23901579252653027,-0.1719143771367604,0.0,0.06855494969263187,0.032042008277032616,False,False
FAM41C,0.0,0.4951564362218135,0.0,0.0,0.0,0.0,-2.268946253507695,0.20931820040377247,0.007807083835589058,False,False
RP11-54O7.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.133259344792342,0.0,0.0,False,False
SAMD11,0.0,0.5065140217509434,0.0,0.0,0.6968930003654954,0.0,0.0,0.21460921353626167,0.008019477707455869,False,False
NOC2L,0.04112817573163593,1.691760800804746,0.7393672297817251,0.26941678609279573,-1.043375321864202,-0.3749645429029313,0.0,0.6415205405071658,0.32175509108618056,True,False
KLHL17,0.34593459780522196,-0.16596253812090186,0.11012443961297116,0.0,0.0,0.029931790738817174,0.0,0.16043329995076389,0.01062017729408156,False,False
PLEKHN1,0.3635163603521903,0.3446086621245154,0.0,1.27066759852964,-0.18141804906388606,-0.6144331905198273,0.0,0.3520743867401411,0.03680723842663778,True,False
PERM1,-0.12716868133320897,0.0,0.0,0.0,0.0,-0.14405586363326198,0.0,-0.08177330232985372,0.00291590415772942,False,False
RP11-54O7.17,-0.07692159421782556,0.7220530864266475,0.0,0.0,0.0,-0.07532377490356745,0.0,0.27009207552748893,0.014116955841262477,False,False
HES4,-0.25767908128457817,-1.4705138193401301,-0.32740420503826195,0.0,-0.40917972213812176,-0.45432280527734586,5.089915511005905,-1.091447862881326,0.25974029903826157,True,False
ISG15,0.7668407870859424,1.537551656500044,0.5651978516337702,0.8997007130116772,-0.2780554757247073,0.15291174819057723,0.5980341334907843,1.3222393218936321,3.924641708062413,True,True
AGRN,-0.10906734842189963,-1.3994038149659787,0.40185095472543453,0.0,0.0,0.7652009120277569,0.0,-0.7454514134212069,0.06488578929473521,True,False
RP11-54O7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RNF223,0.0,-0.6320970240095589,0.0,0.0,0.0,0.0,0.0,-0.2652599728519035,0.010092630159604854,False,False
C1orf159,0.5383975094268212,1.355209307057794,1.0650079622773356,0.0,0.19897202947914855,-0.09828152619018567,0.0,0.8521795953572824,0.12050685193194242,True,True
RP11-465B22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
TTLL10,0.0,0.20903240998239417,0.0,0.0,0.0,-0.1411943532569264,0.0,0.09018171533276588,0.007056188179991679,False,False
TNFRSF18,-2.701354208695587,0.22830577563328108,-4.226306112584102,-2.21120635928831,-2.426025083215545,-3.1258950112033603,-1.8571660995881771,-1.097193915086878,0.6640790464461745,False,False
TNFRSF4,-3.2540728786359923,-0.8835381374565647,-3.4513901157966997,-2.323152617045989,-3.4790221329620725,-3.9780852911553812,-6.042394999622792,-1.9264635764013462,0.7604963348402252,True,True
SDF4,-0.6303411114578028,-0.5840639194446827,-0.6153977391396209,-0.04018219490352123,-0.5175719640703242,-0.3055313655605683,2.3380849104052914,-0.6268590801494517,0.9059737011931253,True,True
B3GALT6,-0.17350680936154939,-0.0523312715312909,-0.3397049634822304,0.0,-0.457706938167836,0.2853902431479696,0.0,-0.14207689862913112,0.02414726563241732,True,False
FAM132A,0.0,0.0,-0.2213925553802461,0.0,0.0,0.0,-3.3194895757258296,0.0,0.0,False,False
RP5-902P8.12,0.0,0.0,0.0,0.0,0.0,-0.07705799024871327,0.0,0.0,0.0,False,False
UBE2J2,0.14258042719836803,0.22079654046603261,0.35226486329283335,-0.3776831398211421,0.6073419648643643,-0.4530226072061226,2.426561657895464,0.1834348702286779,0.31961788217692216,True,False
SCNN1D,0.0,0.0,-0.1291080440742891,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ACAP3,0.14432795487918273,-1.0228995412070154,-0.2228440087284432,0.0,0.7060971857151989,1.1749624930154297,0.0,-0.29526978090284356,0.07785138672813084,False,False
PUSL1,-0.48964492149322236,-1.4699799181203987,-0.9916293818753132,1.6600870083856996,-0.00495234538445922,-0.21306873351922678,0.0,-1.0060893307220067,0.0739102673592839,True,False
CPSF3L,0.09477088337673302,0.11456190961595547,0.6960547004024669,0.8627823649167227,0.9410856279035595,-0.07293681394109362,-2.9493566040641674,0.10581802715989824,0.444934698999671,True,False
CPTP,-0.3744580455721901,-1.0683124006327385,-0.2228440087284432,-0.03971285814918786,-1.0909162866999147,-0.6256962969960783,0.0,-0.654385105626602,0.0936707725129976,True,False
TAS1R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
