"reference_label","n_unique_source_cells"
"B-cells",39
"CAFs",63
"Cancer Epithelial",1414
"Cycling T-cells",13
"Endothelial",147
"Myeloid",171
"NK cells",16
"NKT cells",10
"Normal Epithelial",16
"Plasmablasts",61
"PVL",388
"T cells CD4+",153
"T cells CD8+",63
