"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"CID3948_mix000_depth100",0.00730064208789824,9.38494920164822e-05,9.38494958242174e-05,9.38494958242172e-05,0.028058843149177,0.0178318610221431,9.3849495823097e-05,0.0195493625880364,9.3849495810079e-05,0.926790043677447
"CID3948_mix000_depth25",0.0410225424872102,8.93112258808776e-05,0.000966007538232065,8.9311225851649e-05,0.0391024354343798,0.0464021741838966,8.93112258516497e-05,0.0343482233332648,8.93112258537167e-05,0.837801372119579
"CID3948_mix001_depth100",0.000102808638611014,9.41537565194675e-05,9.41537564886776e-05,9.41537564886779e-05,0.0355272310349772,0.000157165355315096,9.41537564886753e-05,0.0185888081374968,9.41537564741798e-05,0.94515321805114
"CID3948_mix001_depth25",0.0165043594165514,9.04853851560573e-05,0.0046361529622242,9.04853851576265e-05,0.0498068321689046,0.0310421011302276,9.04853851576278e-05,0.0344158340626499,9.04853851576273e-05,0.863232778718813
"CID3948_mix002_depth100",8.43726826250549e-05,0.43243247875997,0.0409112228267864,0.0110328541768006,0.0127193517549021,8.43726826246319e-05,8.43726826250487e-05,0.00713781676445635,0.0071190445742528,0.488394113094957
"CID3948_mix002_depth25",8.38249274832937e-05,0.41723769281549,0.0584915362899229,9.09549601725602e-05,0.0255848400155523,8.38249274832897e-05,8.38249274832804e-05,0.0141286795578782,0.026805328389994,0.457409493188541
"CID3948_mix003_depth100",0.0793514595166761,9.90484350500852e-05,9.9048433783556e-05,9.9048433783547e-05,9.90484337835551e-05,0.000223195713472247,9.90484337835558e-05,0.00489834157759991,9.90484339011242e-05,0.914932712588166
"CID3948_mix003_depth25",0.128810249701377,6.26838808726887e-05,6.2683881684431e-05,6.26838816844306e-05,6.26838816844294e-05,0.0183833671059552,0.00733610605021486,0.000271945463923208,6.26838816836212e-05,0.84488491227092
"CID3948_mix004_depth100",0.0208038771377604,0.157127807998942,0.000175331353701814,0.0184902648632053,0.0102981292896043,0.000178313742747697,0.000132518413999825,0.00402493964628048,0.000132518413993637,0.788636299139765
"CID3948_mix004_depth25",0.0820631133551872,0.148339577484205,8.70375186936347e-05,0.00391867692807942,8.99758311025293e-05,0.000111549867465332,0.0430896269091154,0.000160318853291286,8.70375186936391e-05,0.722053085734167
