spot_id,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
CID3948_mix000_depth100,0.0073006420878982,9.38494920164822e-05,9.38494958242174e-05,9.38494958242172e-05,0.028058843149177,0.0178318610221431,9.3849495823097e-05,9.3849495810079e-05,0.0195493625880364,0.926790043677447
CID3948_mix000_depth25,0.0410225424872102,8.93112258808776e-05,0.000966007538232,8.9311225851649e-05,0.0391024354343798,0.0464021741838966,8.93112258516497e-05,8.93112258537167e-05,0.0343482233332648,0.837801372119579
CID3948_mix001_depth100,0.000102808638611,9.41537565194675e-05,9.41537564886776e-05,9.41537564886779e-05,0.0355272310349772,0.000157165355315,9.41537564886753e-05,9.41537564741798e-05,0.0185888081374968,0.94515321805114
CID3948_mix001_depth25,0.0165043594165514,9.04853851560573e-05,0.0046361529622242,9.04853851576265e-05,0.0498068321689046,0.0310421011302276,9.04853851576278e-05,9.04853851576273e-05,0.0344158340626499,0.863232778718813
CID3948_mix002_depth100,8.43726826250549e-05,0.43243247875997,0.0409112228267864,0.0110328541768006,0.0127193517549021,8.43726826246319e-05,8.43726826250487e-05,0.0071190445742528,0.0071378167644563,0.488394113094957
CID3948_mix002_depth25,8.38249274832937e-05,0.41723769281549,0.0584915362899229,9.09549601725602e-05,0.0255848400155523,8.38249274832897e-05,8.38249274832804e-05,0.026805328389994,0.0141286795578782,0.457409493188541
CID3948_mix003_depth100,0.0793514595166761,9.90484350500852e-05,9.9048433783556e-05,9.9048433783547e-05,9.90484337835551e-05,0.0002231957134722,9.90484337835558e-05,9.90484339011242e-05,0.0048983415775999,0.914932712588166
CID3948_mix003_depth25,0.128810249701377,6.26838808726887e-05,6.2683881684431e-05,6.26838816844306e-05,6.26838816844294e-05,0.0183833671059552,0.0073361060502148,6.26838816836212e-05,0.0002719454639232,0.84488491227092
CID3948_mix004_depth100,0.0208038771377604,0.157127807998942,0.0001753313537018,0.0184902648632053,0.0102981292896043,0.0001783137427476,0.0001325184139998,0.0001325184139936,0.0040249396462804,0.788636299139765
CID3948_mix004_depth25,0.0820631133551872,0.148339577484205,8.70375186936347e-05,0.0039186769280794,8.99758311025293e-05,0.0001115498674653,0.0430896269091154,8.70375186936391e-05,0.0001603188532912,0.722053085734167
CID3948_mix005_depth100,0.0268681697321429,0.182160186270548,0.0001606672260832,0.0168180640802441,0.0044508802845867,0.0001711751341996,0.0001336345510059,0.0389132430291621,0.0033642542606156,0.726959725431412
CID3948_mix005_depth25,0.0912912464556508,0.16936312755249,8.93863609582771e-05,0.0053139153866173,8.93863609582761e-05,0.000103669066582,0.0314527147924335,0.0290549697924346,8.93863609750689e-05,0.6731521978709
CID3948_mix006_depth100,0.0443065761701401,0.0001005906486991,0.0001005906487624,0.0001005906487624,0.0349846930719915,0.0185125271239549,0.0001005906487632,0.0001005906489023,0.008144875983266,0.893548374406758
CID3948_mix006_depth25,0.0002231620855051,9.95905253929488e-05,9.95905253831063e-05,9.95905253831018e-05,0.0409057881523521,0.0002596600770551,0.003866456278078,9.95905253830771e-05,0.0110362396185585,0.943310331686909
CID3948_mix007_depth100,0.0232209300240724,0.166123226283723,0.0022601621308827,9.56329762542638e-05,0.0336518155779567,0.0001613921284843,9.56329762542636e-05,9.56329762542597e-05,0.0061035911932328,0.768191983732885
CID3948_mix007_depth25,0.000178273724951,0.151997242855942,0.0235255013693458,0.0001383169499326,0.0390631124529805,0.0002131041405536,0.0196477374965501,0.0001383169499326,0.0086026780281246,0.756495716031687
CID3948_mix008_depth100,0.0115548267908815,0.42005310318252,0.0410776709885193,0.0157675963765084,0.0166992869199601,0.0001274190447202,0.0062846280068899,0.0001552085783862,0.0036224531507144,0.484657806960899
CID3948_mix008_depth25,0.0001281184609851,0.428999691260146,0.0305214814445321,0.0001281184609851,0.0168596649080699,0.0001281184609851,0.0479537929022236,0.0001281184609851,0.0048733842381017,0.470279511402986
CID3948_mix009_depth100,0.0520886505484815,6.54067145897993e-05,6.54067152300512e-05,6.54067152300512e-05,0.0045869269465763,0.151724257452057,6.5406715230052e-05,6.54067152459261e-05,0.0096840091222773,0.781589122355082
CID3948_mix009_depth25,0.0851394552812314,8.9292565490734e-05,8.92925655510988e-05,8.92925655510955e-05,8.92925655510961e-05,0.190047264992204,8.92925655510977e-05,8.92925655510956e-05,0.0076162247977711,0.716661299535548
CID3948_mix010_depth100,0.0686009850334678,0.010843780422025,6.31452276989789e-05,6.31452276989877e-05,0.0023736142011563,0.0007192171673707,6.31452276989872e-05,0.0406979702699115,0.0083474589333969,0.868227538289575
CID3948_mix010_depth25,0.0915381674817128,0.0035737062516716,0.0001069211998808,8.8406283649294e-05,8.84062836492942e-05,0.142518478215674,0.0004153684915522,0.0509072796253815,0.0066489393583251,0.704114326808503
CID3948_mix011_depth100,0.0143707034309029,0.448052057966336,0.0423076462137894,0.0041433576579371,0.0023576593174206,8.78862587225048e-05,8.7886258728631e-05,0.0308998770504231,0.0040004003233551,0.453692525522385
CID3948_mix011_depth25,0.0296600422746733,0.440322666217847,0.0120213580134775,0.0241011658863851,0.0001254539891902,0.0127667323088942,0.0223938108195848,0.0207487509296972,0.0031666003785088,0.434693419181741
CID3948_mix012_depth100,0.0788365159538648,9.35777802231043e-05,9.35777802818667e-05,9.35777802818717e-05,9.35777802818726e-05,9.35777802818634e-05,9.35777802818715e-05,9.35777802099842e-05,0.0028258624256227,0.91768257715867
CID3948_mix012_depth25,0.121274496799026,8.82292606565478e-05,8.82292606538504e-05,8.82292606538571e-05,8.82292606538512e-05,0.0001365155497677,0.0018932421373415,8.82292606511127e-05,8.82292606484459e-05,0.876166369949948
CID3948_mix013_depth100,0.0144694506465352,0.433662614458117,0.0226083936108486,0.0186383613189875,8.69336931796032e-05,8.69336931824668e-05,8.69336931796039e-05,0.0065480494058428,0.0008168255269309,0.502995503953196
CID3948_mix013_depth25,0.0331344375762537,0.414697860337952,0.0561172261186181,0.0184085409207457,5.92426833679218e-05,5.9242683367937e-05,0.0279063103899641,0.0088142555094379,5.92426835027152e-05,0.440743641096789
CID3948_mix014_depth100,5.94417535835658e-05,0.606682802845632,0.0426781386109843,0.0241470280946915,5.94417535844141e-05,5.94417535425966e-05,5.94417535846535e-05,8.97524317911737e-05,0.0005895960082989,0.325574914994307
CID3948_mix014_depth25,0.0115076003585757,0.589029797660077,0.0980066259604169,0.0053023088952013,4.04985771767774e-05,4.04985771767812e-05,0.007622073765187,0.000101853430467,4.04985771838821e-05,0.288308244198537
CID3948_mix015_depth100,0.0305976453256754,9.26610942017423e-05,9.26610940364078e-05,9.26610940363931e-05,9.26610940363912e-05,0.159295493599875,9.26610940363855e-05,9.26610945356262e-05,0.0036519207784913,0.805898973731076
CID3948_mix015_depth25,0.0105141612883185,9.02897133726902e-05,9.0289710540977e-05,9.02897105409693e-05,9.02897105409679e-05,0.233622956185061,9.02897105409698e-05,9.02897105363255e-05,0.006652067332486,0.748669076928062
