"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"CID3948_mix000_depth100",0.00620711675118892,7.97922630602183e-05,7.97922662976126e-05,7.97922662976124e-05,0.0238560544721045,0.015160918988056,7.979226629666e-05,0.0166211648967715,7.97922662855919e-05,0.787970966893615
"CID3948_mix000_depth25",0.0366502822364313,7.97922663237257e-05,0.000863048625758962,7.97922662976124e-05,0.0349348238288415,0.0414565426010364,7.9792266297613e-05,0.030687324655136,7.97922662994597e-05,0.748506915577581
"CID3948_mix001_depth100",8.71269992369504e-05,7.97922663237057e-05,7.97922662976122e-05,7.97922662976125e-05,0.0301081803347973,0.000133192560251901,7.97922662976103e-05,0.0157534142489656,7.97922662853259e-05,0.80098681220277
"CID3948_mix001_depth25",0.0145539551977689,7.97922662962277e-05,0.00408827515199094,7.97922662976115e-05,0.0439209051156557,0.0273736979237662,7.97922662976126e-05,0.0303487396511338,7.97922662976122e-05,0.761220164299132
"CID3948_mix002_depth100",7.97922662976135e-05,0.408956624673046,0.0386902381765276,0.0104339036179536,0.0120288447727841,7.97922662972135e-05,7.97922662976077e-05,0.00675031963347746,0.00673256654618537,0.461880219021118
"CID3948_mix002_depth25",7.97922662976132e-05,0.397165164278495,0.0556776173857376,8.65792863897692e-05,0.0243540009994001,7.97922662976093e-05,7.97922662976005e-05,0.0134489750908587,0.0255157739506025,0.435404374132388
"CID3948_mix003_depth100",0.0639246129090232,7.97922673179136e-05,7.97922662976124e-05,7.97922662976052e-05,7.97922662976116e-05,0.000179803870950454,7.97922662976123e-05,0.0039460470059589,7.97922663923239e-05,0.737059152361398
"CID3948_mix003_depth25",0.114776606503792,5.58545856850257e-05,5.58545864083302e-05,5.58545864083298e-05,5.58545864083288e-05,0.0163805325851519,0.00653685059494604,0.000242317498611847,5.58545864076086e-05,0.752836232687413
"CID3948_mix004_depth100",0.0178949632571836,0.135157323425992,0.000150815548061057,0.0159048531267319,0.00885818754047087,0.000153380922872748,0.000113988951853732,0.00346215018506521,0.000113988951848409,0.678364782820798
"CID3948_mix004_depth25",0.0752319447099163,0.135991366099914,7.97922662976073e-05,0.00359247503459068,8.24859851640808e-05,0.000102264136936012,0.0395027229245694,0.000146973452671288,7.97922662976113e-05,0.661947318382402
"CID3948_mix005_depth100",0.0229182833551742,0.155380839357485,0.000137047556643199,0.014345642517488,0.00379655691321932,0.000146010698460598,0.000113988951853732,0.00286967564937638,0.0331926118861826,0.62008946427435
"CID3948_mix005_depth25",0.081492694967529,0.151184896999809,7.97922662976131e-05,0.00474355759722526,7.97922662976122e-05,9.25419681354385e-05,0.0280768046444153,7.97922663126026e-05,0.0259364164967985,0.600900840525433
"CID3948_mix006_depth100",0.0351456339927987,7.97922662473923e-05,7.97922662976116e-05,7.97922662976117e-05,0.0277511675318135,0.014684829179348,7.97922662982487e-05,0.00646082037856771,7.97922664086018e-05,0.708796003581174
"CID3948_mix006_depth25",0.000178798218863306,7.97922663054998e-05,7.97922662976139e-05,7.97922662976104e-05,0.0327738560351036,0.000208040533329253,0.00309781786752995,0.00884227256740308,7.97922662975906e-05,0.755783433190125
"CID3948_mix007_depth100",0.0193745996907254,0.138606464307946,0.00188578736840407,7.97922662976123e-05,0.0280777064059505,0.000134659028702839,7.9792266297612e-05,0.00509258827799459,7.97922662976088e-05,0.640948151302282
"CID3948_mix007_depth25",0.000146917894445573,0.125263074455047,0.0193876979230053,0.000113988951853732,0.0321924626506624,0.000175622131844536,0.0161919779507853,0.00708958845635832,0.000113988951853731,0.623438803373643
"CID3948_mix008_depth100",0.0103369366615174,0.3757790922057,0.0367480439902451,0.0141056761817461,0.0149391656238722,0.00011398895185373,0.00562222202237476,0.00324064301922722,0.000138849441288782,0.433574396547277
"CID3948_mix008_depth25",0.000113988951853731,0.381687578638493,0.0271554282820189,0.00011398895185373,0.0150003014140056,0.000113988951853729,0.0426652220788715,0.00433592440160543,0.000113988951853734,0.418414865202899
"CID3948_mix009_depth100",0.044481518796967,5.58545858615803e-05,5.58545864083285e-05,5.58545864083285e-05,0.00391704286914758,0.12956614039229,5.58545864083292e-05,0.00826973686718277,5.5854586421885e-05,0.667444268021184
"CID3948_mix009_depth25",0.0760810269735866,7.97922662436727e-05,7.9792266297615e-05,7.9792266297612e-05,7.97922662976126e-05,0.169827150600946,7.97922662976141e-05,0.00680589513242825,7.97922662976122e-05,0.640411986202938
"CID3948_mix010_depth100",0.0606804312198199,0.00959177585774464,5.58545864083209e-05,5.58545864083287e-05,0.00209956071629857,0.000636177568521295,5.58545864083282e-05,0.00738367543004155,0.0359990513918252,0.767983453803635
"CID3948_mix010_depth25",0.0826189896757926,0.00322549607484946,9.65031500204231e-05,7.97922662976118e-05,7.9792266297612e-05,0.128631946697674,0.000374896352628681,0.00600108858755755,0.0459470418241913,0.635507743901374
