"reference_label","n_unique_source_cells"
"B-cells",38
"CAFs",62
"Cancer Epithelial",1405
"Cycling T-cells",13
"Endothelial",133
"Myeloid",162
"NK cells",17
"NKT cells",12
"Normal Epithelial",16
"Plasmablasts",58
"PVL",375
"T cells CD4+",147
"T cells CD8+",65
