"reference_label","n_unique_source_cells"
"B-cells",40
"CAFs",60
"Cancer Epithelial",1400
"Cycling T-cells",12
"Endothelial",141
"Myeloid",164
"NK cells",16
"NKT cells",10
"Normal Epithelial",15
"Plasmablasts",57
"PVL",366
"T cells CD4+",157
"T cells CD8+",56
