gene,reason
CYP17A1-AS1,not present under exact name in slice features
CT62,not present under exact name in slice features
AC007966.1,not present under exact name in slice features
LINC01087,not present under exact name in slice features
CHKB-CPT1B,not present under exact name in slice features
UMOD,not present under exact name in slice features
POTEC,not present under exact name in slice features
SEPT12,not present under exact name in slice features
CST9L,not present under exact name in slice features
ZDHHC22,not present under exact name in slice features
RPS4Y1,not present under exact name in slice features
