pathology,n_spots,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
Adipose tissue,83,0.013377923458485744,0.07325932789380021,0.4339399854500692,0.054179620709879764,0.13175885991917263,9.268805421462283e-05,0.09916741507389329,0.01793562847052303,0.0007862387639468568,0.10617769852464509
Cancer trapped in lymphocyte aggregation,9,0.0031407922062098945,0.02330777772935982,0.4289971242746671,0.013901136417480748,0.08586588870057187,4.569914904939491e-05,0.24121898122553753,0.00011141934464790879,4.569914484802469e-05,0.1265508045252999
DCIS,12,0.01377782386683931,0.011502806236684218,0.4458678935769982,6.623948057605389e-05,0.14118845020034676,5.600242883817856e-05,0.20755427995945408,6.62394805760541e-05,4.038995180391622e-05,0.1613762928550614
Invasive cancer + stroma + lymphocytes,3146,8.331041238952937e-05,0.029162684767322235,0.52659014569944,0.019109990801395672,0.12609608008584322,6.890353039374375e-05,0.14103661575960325,6.734854401285799e-05,6.551326622277474e-05,0.12775430328519266
Lymphocytes,186,0.1748551977036904,0.060284191432591075,0.10769568345330251,0.016742760398659254,0.16495323482890828,8.28608941027036e-05,0.005575952186761747,0.012443549286333934,0.0002210602654654374,0.3340426346599231
Normal glands + lymphocytes,278,0.02522733084658811,0.056033084313645815,0.36903288070526863,0.029650263693732526,0.1536781112482215,0.00010049034450876786,0.12445326845684401,0.0081675360993828,0.0005114590986959688,0.13851731167444992
Stroma,1132,0.03332195873363426,0.07520903018070653,0.3853030759388061,0.03697398770604521,0.16994579207339744,0.00013533322675908602,0.0542571600895137,0.015257329821304316,0.003188085970661986,0.1472733918640834
