donor_id,reference_label,review_group,n_cells,umi_median,genes_median,mt_median,mt_max
CID4067,CAFs,flagged,10,989.5,578.0,8.940986595853854,12.226066897347174
CID4067,CAFs,other,125,4215.0,1651.0,2.595563945257197,7.857581338244322
CID4067,Endothelial,flagged,8,1252.0,613.0,11.95856452478969,18.84384384384384
CID4067,Endothelial,other,178,1571.5,834.5,3.6660958231922747,11.099252934898612
CID4067,PVL,flagged,11,2537.0,1224.0,6.7276774672273065,19.700748129675812
CID4067,PVL,other,72,1323.0,695.0,4.725924301478285,12.64367816091954
CID4067,T cells CD8+,flagged,9,574.0,355.0,10.540184453227932,13.353115727002969
CID4067,T cells CD8+,other,234,993.5,526.0,3.2395742902157485,8.394458027709861
CID4471,CAFs,flagged,23,3292.0,1354.0,18.020594965675055,19.805589307411907
CID4471,CAFs,other,1269,4638.0,1772.0,6.832298136645963,16.657027183342972
CID4471,Endothelial,flagged,141,4599.0,1676.0,16.14229531641044,19.924634950541687
CID4471,Endothelial,other,2637,6196.0,2159.0,7.106187516887328,15.424716344679544
CID4471,PVL,flagged,71,5346.0,1915.0,8.750245242299393,19.90240501917044
CID4471,PVL,other,1214,3787.5,1475.0,8.062195382890394,15.867944621938232
CID4471,T cells CD8+,flagged,3,366.0,254.0,7.142857142857143,7.6502732240437155
CID4471,T cells CD8+,other,156,2174.5,981.0,7.344671688983752,12.721490231712858
CID4535,CAFs,flagged,20,3918.5,1397.5,12.98068989811905,18.97965158834724
CID4535,CAFs,other,82,4878.5,1652.0,3.471611585742534,10.857142857142858
CID4535,Cancer Epithelial,flagged,268,1634.5,717.0,3.4762339110165197,19.902912621359224
CID4535,Cancer Epithelial,other,1955,22380.0,4095.0,9.038461538461538,19.982602212004473
CID4535,Endothelial,flagged,18,2248.0,927.5,14.91762141579796,19.59641255605381
CID4535,Endothelial,other,201,5088.0,1981.0,3.6283529869120126,10.512396694214877
CID4535,PVL,flagged,136,6703.5,2099.5,4.804658459462416,18.876903553299492
CID4535,PVL,other,456,4893.5,1730.0,3.7819449211173115,8.209764918625678
CID4535,T cells CD8+,flagged,20,1559.0,721.5,10.695024879345777,18.10507931887644
CID4535,T cells CD8+,other,78,2965.0,1107.0,3.529275471211119,8.01094177413052
