donor_id,reference_label,review_group,EPCAM,KRT8,KRT18,KRT19,CD3D,CD3E,TRAC,CD8A,CD8B,COL1A1,COL1A2,DCN,LUM,RGS5,CSPG4,MCAM,PECAM1,VWF
CID4067,B-cells,other,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.0,0.03773584905660377,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0
CID4067,CAFs,flagged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,1.0,0.9,0.0,0.0,0.0,0.0,0.0
CID4067,CAFs,other,0.0,0.008,0.016,0.0,0.0,0.0,0.064,0.0,0.008,0.976,0.992,0.992,0.992,0.016,0.048,0.008,0.0,0.0
CID4067,Cancer Epithelial,other,0.45535714285714285,0.8881802721088435,0.8499149659863946,0.8214285714285714,0.0055272108843537416,0.00510204081632653,0.007653061224489796,0.0021258503401360546,0.003401360544217687,0.015306122448979591,0.0055272108843537416,0.002976190476190476,0.0021258503401360546,0.01445578231292517,0.0012755102040816326,0.0,0.00510204081632653,0.00467687074829932
CID4067,Cycling T-cells,other,0.0,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,Endothelial,flagged,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.375,0.625
CID4067,Endothelial,other,0.011235955056179775,0.05056179775280899,0.07865168539325842,0.0,0.0056179775280898875,0.0,0.0056179775280898875,0.0,0.0,0.011235955056179775,0.011235955056179775,0.0,0.0,0.016853932584269662,0.0,0.19101123595505617,0.6123595505617978,0.651685393258427
CID4067,Myeloid,flagged,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555
CID4067,Myeloid,other,0.0,0.004032258064516129,0.020161290322580645,0.0,0.0,0.0,0.004032258064516129,0.008064516129032258,0.0,0.028225806451612902,0.024193548387096774,0.012096774193548387,0.008064516129032258,0.008064516129032258,0.0,0.004032258064516129,0.12096774193548387,0.004032258064516129
CID4067,NK cells,flagged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,NK cells,other,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0
CID4067,NKT cells,other,0.0,0.0,0.0,0.0,0.3333333333333333,0.28205128205128205,0.10256410256410256,0.1282051282051282,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,PVL,flagged,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.9090909090909091,0.45454545454545453,0.18181818181818182,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.0
CID4067,PVL,other,0.013888888888888888,0.05555555555555555,0.041666666666666664,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.3194444444444444,0.19444444444444445,0.09722222222222222,0.5555555555555556,0.125,0.375,0.0,0.0
CID4067,T cells CD4+,flagged,0.0,0.0,0.0,0.0,0.46153846153846156,0.6923076923076923,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,T cells CD4+,other,0.0,0.008823529411764706,0.008823529411764706,0.008823529411764706,0.4,0.5558823529411765,0.17647058823529413,0.03235294117647059,0.026470588235294117,0.0029411764705882353,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0
CID4067,T cells CD8+,flagged,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,T cells CD8+,other,0.004273504273504274,0.0,0.01282051282051282,0.004273504273504274,0.44017094017094016,0.5598290598290598,0.2094017094017094,0.3803418803418803,0.2948717948717949,0.004273504273504274,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0
CID4471,B-cells,flagged,0.0,0.25,0.25,0.5,0.0,0.0,0.375,0.0,0.0,0.25,0.125,0.125,0.0,0.0,0.0,0.0,0.25,0.25
CID4471,B-cells,other,0.01098901098901099,0.03296703296703297,0.08791208791208792,0.02197802197802198,0.0,0.01098901098901099,0.12087912087912088,0.0,0.0,0.23076923076923078,0.13186813186813187,0.17582417582417584,0.054945054945054944,0.07692307692307693,0.0,0.02197802197802198,0.10989010989010989,0.04395604395604396
CID4471,CAFs,flagged,0.0,0.13043478260869565,0.13043478260869565,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.9565217391304348,1.0,0.9130434782608695,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.08695652173913043
CID4471,CAFs,other,0.018912529550827423,0.06934594168636722,0.09929078014184398,0.09771473601260836,0.002364066193853428,0.007880220646178092,0.08116627265563436,0.0031520882584712374,0.027580772261623327,0.9141055949566588,0.933806146572104,1.0,0.9408983451536643,0.06855791962174941,0.0252167060677699,0.02364066193853428,0.0764381402679275,0.06619385342789598
CID4471,Cancer Epithelial,other,0.7122641509433962,0.9575471698113207,1.0,1.0,0.009433962264150943,0.018867924528301886,0.009433962264150943,0.014150943396226415,0.0047169811320754715,0.3915094339622642,0.14622641509433962,0.20754716981132076,0.09905660377358491,0.09433962264150944,0.018867924528301886,0.05660377358490566,0.06132075471698113,0.06132075471698113
CID4471,Cycling T-cells,other,0.125,0.125,0.0,0.0,0.375,0.375,0.375,0.0,0.0,0.375,0.25,0.5,0.25,0.125,0.0,0.125,0.25,0.0
CID4471,Endothelial,flagged,0.03546099290780142,0.14893617021276595,0.28368794326241137,0.12056737588652482,0.0,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.0,0.475177304964539,0.3971631205673759,0.3617021276595745,0.1702127659574468,0.40425531914893614,0.06382978723404255,0.49645390070921985,0.9361702127659575,0.9361702127659575
CID4471,Endothelial,other,0.054986727341676145,0.1596511186954873,0.2787258248009101,0.1111111111111111,0.0026545316647705727,0.006446719757299962,0.004550625711035267,0.0018960940462646946,0.0007584376185058779,0.29275692074326887,0.16761471368979902,0.20781190747061054,0.10504361016306409,0.16989002654531665,0.005309063329541145,0.38414865377322716,0.9620781190747061,0.9321198331437239
CID4471,Myeloid,flagged,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.2,0.06666666666666667
CID4471,Myeloid,other,0.018518518518518517,0.1,0.11851851851851852,0.12962962962962962,0.0,0.014814814814814815,0.0,0.0,0.0,0.3074074074074074,0.15925925925925927,0.21851851851851853,0.11851851851851852,0.07407407407407407,0.003703703703703704,0.044444444444444446,0.3925925925925926,0.08888888888888889
CID4471,NK cells,flagged,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4471,NK cells,other,0.0,0.10344827586206896,0.1724137931034483,0.06896551724137931,0.034482758620689655,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.0,0.3448275862068966,0.13793103448275862,0.20689655172413793,0.10344827586206896,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655
CID4471,NKT cells,flagged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4471,NKT cells,other,0.0,0.16666666666666666,0.1,0.13333333333333333,0.23333333333333334,0.26666666666666666,0.1,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.1,0.1,0.0,0.1,0.1,0.06666666666666667
CID4471,Normal Epithelial,flagged,0.5333333333333333,0.6666666666666666,0.9333333333333333,0.7333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667
CID4471,Normal Epithelial,other,0.5745771399282419,0.9497693490517684,0.7616606868272681,0.5740645822655048,0.0030753459764223477,0.006663249615581753,0.005638134290107637,0.0046130189646335215,0.007175807278318811,0.2885699641209636,0.14044079958995387,0.16401845207585852,0.07380830343413634,0.06355715017939519,0.007688364941055869,0.12762685802152743,0.050230650948231675,0.05330599692465402
CID4471,PVL,flagged,0.056338028169014086,0.09859154929577464,0.19718309859154928,0.08450704225352113,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.8028169014084507,0.7887323943661971,0.676056338028169,0.323943661971831,0.8732394366197183,0.28169014084507044,0.9154929577464789,0.09859154929577464,0.056338028169014086
CID4471,PVL,other,0.019769357495881382,0.09884678747940692,0.13756177924217464,0.08978583196046129,0.004118616144975288,0.008237232289950576,0.0008237232289950577,0.002471169686985173,0.002471169686985173,0.5230642504118617,0.39456342668863265,0.34349258649093906,0.1128500823723229,0.5115321252059308,0.1672158154859967,0.6696869851729819,0.039538714991762765,0.05354200988467875
CID4471,Plasmablasts,flagged,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0
CID4471,Plasmablasts,other,0.10869565217391304,0.17391304347826086,0.2391304347826087,0.10869565217391304,0.0,0.0,0.021739130434782608,0.0,0.0,0.1956521739130435,0.30434782608695654,0.1956521739130435,0.043478260869565216,0.08695652173913043,0.0,0.06521739130434782,0.391304347826087,0.043478260869565216
