donor_id,reference_label,review_group,EPCAM,KRT8,KRT18,KRT19,CD3D,CD3E,TRAC,CD8A,CD8B,COL1A1,COL1A2,DCN,LUM,RGS5,CSPG4,MCAM,PECAM1,VWF
CID4067,B-cells,other,0.0,0.0,0.10504082562794022,0.0,0.0,0.0,0.1783405072861839,0.0,0.0,0.0,0.0901104786095947,0.0,0.040621980695444246,0.0,0.0,0.0,0.0,0.0
CID4067,CAFs,flagged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6050908492742835,3.2036614754020816,3.6520565030788354,3.358300234507122,0.0,0.0,0.0,0.0,0.0
CID4067,CAFs,other,0.0,0.005318429213272947,0.03237650673483922,0.0,0.0,0.0,0.08276174313460441,0.0,0.010377228998359562,4.741119092882086,4.742893572876042,3.6251317258876354,3.6940613653731456,0.03203565553908355,0.05522990674505008,0.010520095909355036,0.0,0.0
CID4067,Cancer Epithelial,other,0.6271199122469797,2.0147499554826434,2.02524390647667,1.7676263770724752,0.007219683271764713,0.007880015299592175,0.008493766387891023,0.002041992448595976,0.003577986835003605,0.019867338491863246,0.009548676159079636,0.004916208979021275,0.0035689661072913835,0.015356216062841889,0.00138562067523189,0.0,0.006285766762675139,0.006744080689990863
CID4067,Cycling T-cells,other,0.0,0.0,0.0,0.0,1.5446404393793127,0.7451764195242814,1.1578601885059203,1.2194665246741947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,Endothelial,flagged,0.0,0.0,0.07579302633940835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29270765043037555,0.0,0.0,0.37319125390931945,0.0,0.0,0.9136200659062299,1.4808749748319137
CID4067,Endothelial,other,0.02469265977105827,0.09603783190408079,0.1243819043166454,0.0,0.003000244626987856,0.0,0.008169377682552319,0.0,0.0,0.024580584264892704,0.017790028845642264,0.0,0.0,0.03684373251278948,0.0,0.3764548555391434,1.3990361457933966,1.6596123871725523
CID4067,Myeloid,flagged,0.05257507628793189,0.2825487873467565,0.2339430325034442,0.0,0.0,0.0,0.0,0.0,0.0,0.164880919776417,0.0,0.0,0.07648724886714639,0.0,0.0,0.0,0.517337511877168,0.12770192488450766
CID4067,Myeloid,other,0.0,0.005115738003546012,0.027155304402423266,0.0,0.0,0.0,0.007374828832093178,0.006895957177440903,0.0,0.03777936383828329,0.0327505873021234,0.01313568239370888,0.01270993898649729,0.009241682329744918,0.0,0.003966755280338834,0.16269591467072753,0.005172756992152139
CID4067,NK cells,flagged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,NK cells,other,0.0,0.0,0.0,0.048735185546020424,0.0902168125717874,0.2337709515187304,0.17205903766423677,0.047843218597708875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05160227999630696,0.0
CID4067,NKT cells,other,0.0,0.0,0.0,0.0,0.8939701124713824,0.8232373377150416,0.23585943877219698,0.30264525077278265,0.12322715537266259,0.05668848627637391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,PVL,flagged,0.0,0.0,0.11949480849823266,0.0799263313295568,0.0,0.0,0.0,0.0,0.0,2.0482478802590127,2.788528147052168,0.7646223094743007,0.42670387544478655,3.377123639389845,1.5746397291997531,1.4607553467271162,0.0799263313295568,0.0
CID4067,PVL,other,0.021666289379897657,0.08848877737125929,0.07781466265785235,0.02058943944264039,0.0,0.0,0.0,0.0,0.0,0.9219108087166388,0.9233018408792988,0.39903034946259414,0.2128575265609366,2.024898902121921,0.3009042748813113,0.8696078575979285,0.0,0.0
CID4067,T cells CD4+,flagged,0.0,0.0,0.0,0.0,1.0860400215544617,1.6248911488874678,0.5620548909367712,0.0,0.18977219261576075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,T cells CD4+,other,0.0,0.018531145735717385,0.016978336423254827,0.018048398472228885,0.9678209211653831,1.3835428887020202,0.428726580806631,0.06931326678001333,0.06075795915818962,0.006472906045572377,0.006336210054800941,0.0,0.0,0.0,0.0,0.0,0.008000789406504455,0.0
CID4067,T cells CD8+,flagged,0.0,0.0,0.33212295539798375,0.0,1.4462395406926125,1.2200817219072588,0.0,0.6098749644907757,1.3575016025306317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,T cells CD8+,other,0.009806043028831974,0.0,0.03006431048026877,0.010844088812238358,1.1524200108210585,1.5204236386962071,0.5084079958802546,0.9858602182269552,0.7372016399655691,0.010144037947991968,0.008919572157705159,0.0,0.0,0.0,0.0,0.0,0.03295482157531584,0.0
CID4471,B-cells,flagged,0.0,0.46345012036619876,0.4112478653125977,0.8668921756316728,0.0,0.0,0.4787187562209165,0.0,0.0,0.20024824388695278,0.1619512467721546,0.3061816353079026,0.0,0.0,0.0,0.0,0.2562572225133498,0.4153357969151167
CID4471,B-cells,other,0.015600832536437662,0.05236256374927006,0.15962899258613003,0.03409870670581133,0.0,0.015316940294013995,0.1876139470410345,0.0,0.0,0.39566567796511404,0.20453409789084526,0.29719963870555366,0.09535801976569176,0.1372277713813671,0.0,0.03295135171264017,0.1888856301665306,0.08583280838442563
CID4471,CAFs,flagged,0.0,0.1976354030026688,0.13305676962123614,0.3605182929083142,0.0,0.0,0.0,0.0,0.0,3.046216682503183,3.0742991393656753,4.213885359368911,2.4819239680110856,0.23975973861312444,0.04575555736044876,0.14642407122652146,0.29269099816849037,0.12905540888943748
CID4471,CAFs,other,0.020555345509598134,0.0839083549468539,0.1206228523833187,0.10773237761557874,0.0033164422284906537,0.008983574124883634,0.07399784332084865,0.0024988910930318488,0.029976093759335822,3.3186183949696018,3.181473615041691,4.224187222520289,3.041795902264506,0.09804779520746869,0.022428160335108284,0.024490149147764255,0.09154492820956876,0.07601695036535247
CID4471,Cancer Epithelial,other,0.6820670762422203,2.0664049968912837,2.6819505164031967,3.7379594370216895,0.008116914681696633,0.01825332993760894,0.004700820515198427,0.009743811584049083,0.0024369126328683804,0.31034681960961286,0.10936575607329435,0.19230685714310816,0.10207219220579014,0.07804934663124585,0.010951429502791706,0.031024972803815564,0.04443391225861454,0.045217155267005336
CID4471,Cycling T-cells,other,0.20844509980544734,0.3756723121318651,0.0,0.0,0.9182457679110472,0.8395146276859049,0.5223700696203821,0.0,0.0,0.9802475297160882,0.8133097378841141,1.2629598307238075,0.8965019960023488,0.10948319939736982,0.0,0.3756723121318651,0.613235820081307,0.0
CID4471,Endothelial,flagged,0.021094054848317677,0.11150332185558558,0.28599022620412334,0.14274094017403968,0.0,0.017363912536402105,0.002885126957090953,0.010124627839313352,0.0,0.5745485299476045,0.488535390819694,0.43472313375704863,0.1664840258454119,1.1386087432418923,0.035122742128132795,0.6027838488216781,2.016960261077096,2.285242553347636
CID4471,Endothelial,other,0.04782588603876131,0.15039231739066328,0.29396472811208607,0.12145840133046457,0.002739147804214731,0.005286830380512347,0.003407978712088321,0.0016867058599290652,0.0006049568527225151,0.3198855102156584,0.18059307698779775,0.25437521741477936,0.1148865967823369,0.31686145955975864,0.0041038805140197745,0.40080329679152177,2.0738082024266444,2.0428305596264686
