donor_id,reference_label,flag,n_cells,umi_min,umi_median,umi_max,mt_min,mt_median,mt_max
CID4067,CAFs,review_low_umi,2,331,344.5,358,3.0211480362537766,6.119512565612922,9.217877094972067
CID4067,CAFs,review_low_genes,3,331,358.0,498,0.4016064257028112,3.0211480362537766,9.217877094972067
CID4067,CAFs,review_high_mt,8,358,1364.0,9441,8.303249097472925,9.132045725460468,12.226066897347174
CID4067,Endothelial,review_high_umi,1,23989,23989.0,23989,2.205177372962608,2.205177372962608,2.205177372962608
CID4067,Endothelial,review_high_mt,7,296,1208.0,1332,11.317567567567568,12.16216216216216,18.84384384384384
CID4067,PVL,review_high_genes,2,14195,15543.0,16891,4.031732875495826,4.98169947755066,5.9316660796054945
CID4067,PVL,review_high_mt,3,401,767.0,1432,14.385474860335195,18.77444589308996,19.700748129675812
CID4067,PVL,review_CAF_PVL,8,1230,4150.0,16891,4.031732875495826,5.279669074569014,13.0074891604257
CID4067,T cells CD8+,review_low_umi,1,337,337.0,337,13.353115727002969,13.353115727002969,13.353115727002969
CID4067,T cells CD8+,review_low_genes,3,337,383.0,403,1.827676240208877,9.925558312655086,13.353115727002969
CID4067,T cells CD8+,review_high_mt,8,337,578.5,1270,8.503937007874017,10.647450717180003,13.353115727002969
CID4471,CAFs,review_high_mt,20,1092,2830.5,8684,16.778916544655928,18.131280101133726,19.805589307411907
CID4471,CAFs,review_CAF_PVL,3,8523,10727.0,24001,5.841423274030249,6.879835928032069,8.717587703860143
CID4471,Endothelial,review_low_umi,1,872,872.0,872,18.807339449541285,18.807339449541285,18.807339449541285
CID4471,Endothelial,review_high_umi,2,42611,43246.0,43881,5.337161869601878,6.289711628753205,7.242261387904532
CID4471,Endothelial,review_low_genes,1,872,872.0,872,18.807339449541285,18.807339449541285,18.807339449541285
CID4471,Endothelial,review_high_mt,95,872,3284.0,8478,15.514057049045762,17.10144927536232,19.924634950541687
CID4471,Endothelial,review_CAF_PVL,45,8685,16891.0,42611,3.216374269005848,6.0576861309179675,14.34587041822184
CID4471,PVL,review_low_umi,2,682,837.0,992,12.609970674486805,12.958211143695015,13.306451612903226
CID4471,PVL,review_high_umi,2,25178,25313.0,25448,6.910795138613075,7.5028669185677765,8.094938698522478
CID4471,PVL,review_low_genes,2,682,837.0,992,12.609970674486805,12.958211143695015,13.306451612903226
CID4471,PVL,review_high_genes,2,25178,25313.0,25448,6.910795138613075,7.5028669185677765,8.094938698522478
CID4471,PVL,review_high_mt,19,1601,4681.0,10167,16.280752532561504,18.134947321228424,19.90240501917044
CID4471,PVL,review_CAF_PVL,50,1991,5534.5,25178,2.9797377830750893,7.174758468758364,19.101888076203437
CID4471,T cells CD8+,review_low_umi,3,295,366.0,406,5.084745762711864,7.142857142857143,7.6502732240437155
CID4471,T cells CD8+,review_low_genes,3,295,366.0,406,5.084745762711864,7.142857142857143,7.6502732240437155
CID4535,CAFs,review_high_mt,15,405,2021.0,13662,11.872909698996656,13.397129186602871,18.97965158834724
CID4535,CAFs,review_CAF_PVL,5,4455,5433.0,14641,2.1903184244432174,4.219691895512391,8.983563196674854
CID4535,Cancer Epithelial,review_low_umi,152,789,1246.0,1760,0.4294478527607362,3.773735308023001,19.902912621359224
CID4535,Cancer Epithelial,review_low_genes,263,789,1614.0,7954,0.4294478527607362,3.4408602150537635,19.902912621359224
CID4535,Cancer Epithelial,review_epithelial_T,2,21384,26319.0,31254,9.733154156267998,10.878081006304594,12.02300785634119
CID4535,Cancer Epithelial,review_CAF_PVL,3,26490,29227.0,30611,9.3817360659664,10.352487667831824,11.559078897697244
CID4535,Endothelial,review_high_mt,18,1105,2248.0,11875,11.019929660023449,14.91762141579796,19.59641255605381
CID4535,Endothelial,review_CAF_PVL,1,11875,11875.0,11875,11.545263157894738,11.545263157894738,11.545263157894738
CID4535,PVL,review_low_umi,8,742,879.5,1132,1.8551236749116609,3.0133752543573644,7.5178997613365155
CID4535,PVL,review_low_genes,9,742,881.0,1269,2.560646900269542,4.488330341113106,15.36643026004728
CID4535,PVL,review_high_mt,56,1217,4918.5,17338,8.674248854184349,11.916022742927275,18.876903553299492
CID4535,PVL,review_CAF_PVL,78,3805,8363.0,20862,1.7655846801575446,3.4643946703454684,15.779467680608365
CID4535,T cells CD8+,review_low_umi,9,306,639.0,926,4.25531914893617,8.92018779342723,12.972972972972974
CID4535,T cells CD8+,review_high_umi,1,8564,8564.0,8564,14.315740308267165,14.315740308267165,14.315740308267165
CID4535,T cells CD8+,review_low_genes,9,306,639.0,926,4.25531914893617,8.92018779342723,12.972972972972974
CID4535,T cells CD8+,review_high_genes,1,8564,8564.0,8564,14.315740308267165,14.315740308267165,14.315740308267165
CID4535,T cells CD8+,review_high_mt,14,306,2622.5,8564,8.92018779342723,10.963871619704992,18.10507931887644
CID4535,T cells CD8+,review_epithelial_T,2,1737,2923.0,4109,2.7058146229130684,2.9591375377889753,3.212460452664882
