pathology,n_spots,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
Invasive cancer + stroma + lymphocytes,3625,7.374617611405788e-05,0.08797101454542491,0.40335734770781495,0.012103090435161216,0.04642582535680751,6.688740857894485e-05,0.28551978939719813,0.0009690298531413455,6.75587680427505e-05,0.10829329339007024
Lymphocytes,15,0.03328786470782366,0.139424299815659,0.2952909103020084,0.0310236625059525,0.211560029828755,0.00012830915471020475,0.09772103447673747,0.006359594096410499,0.008963289962594125,0.13826325935300082
Necrosis,567,6.32400147895963e-05,0.07755956054845871,0.40681812847626164,0.007473619245771082,0.03525663128283094,6.178149380261395e-05,0.3662349262767872,0.00838164238769111,6.313618243097088e-05,0.07383983348354776
Stroma,445,9.999821931545999e-05,0.1238961962785462,0.3827513001414998,0.01060493583926005,0.06065150748971016,8.694091748989465e-05,0.26210028007051583,0.002110996956740237,0.00030712484749888307,0.09989494008389134
TLS,10,0.05681829776230491,0.13273131305266367,0.21939032633158756,0.006641142800151252,0.2237567431835344,0.00016743399620356293,0.07076111148775484,0.00016940471808126682,0.016108728083532038,0.21845733100712572
