spot_id,B-cells,CAFs,Cancer Epithelial,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
mix_0000_depth100,9.10049128538725e-05,9.10049126233453e-05,0.7181953978403077,0.0044088706008379,9.10049128911368e-05,9.10049129712852e-05,9.10049129128635e-05,9.10049123693383e-05,0.255405458791987,0.0100749667507258,9.10049129459726e-05,0.0111872667136713,9.10049129025807e-05
mix_0000_depth25,0.0004551310540162,9.03851494802948e-05,0.7125889517708357,0.0142037384120033,9.03851495917191e-05,0.002142416334957,9.03851495670373e-05,9.03851493010567e-05,0.266419292343016,0.0035526784292034,9.5480758840447e-05,9.03851495917244e-05,9.03851495953838e-05
mix_0001_depth100,5.94322301427839e-05,5.94322301566604e-05,0.7434749106586666,0.0019903171861858,5.94322302295655e-05,5.94322302122765e-05,5.94322302447733e-05,5.94322303629719e-05,0.240825271829655,5.94322302312565e-05,5.94322308275272e-05,0.0131746102528043,5.94322302798796e-05
mix_0001_depth25,5.91638091674552e-05,5.91638071004749e-05,0.7182168271145671,0.0039677620077362,5.91638091511436e-05,5.91638091984538e-05,5.91638091351558e-05,5.91638090528927e-05,0.27722377278804,5.91638091511433e-05,5.91638094071965e-05,5.91638091511433e-05,5.91638091418758e-05
mix_0002_depth100,5.93475776595169e-05,5.93475786611695e-05,0.5962513240852101,5.93475776446666e-05,5.93475776555419e-05,5.93475777217982e-05,5.9347577716094e-05,5.93475780209083e-05,0.343293525293527,0.0265511796207792,5.93475778495657e-05,0.0333698427997665,5.9347577787541e-05
mix_0002_depth25,5.80919672211848e-05,5.80919651069493e-05,0.571472510608548,5.80919672114866e-05,5.8091967211476e-05,5.80919671907902e-05,5.80919672081245e-05,5.80919672022628e-05,0.358724803632226,0.0280942395275064,5.80919687555056e-05,0.0411856185276804,5.80919669322447e-05
mix_0003_depth100,0.0012745431729374,5.51938833149385e-05,0.7303193445006958,5.51938832178152e-05,5.51938832177751e-05,0.041416861453341,5.51938831889102e-05,5.519388314309e-05,0.212014531155342,0.0015080096560719,0.0002020413854186,0.0129335053767907,5.51938833202183e-05
mix_0003_depth25,0.0016984043220492,5.39777568302012e-05,0.6845773704458563,5.39777567909199e-05,5.39777567909199e-05,0.0479962881508783,5.39777567895239e-05,5.39777565821634e-05,0.246316699281886,0.0005794281825881,0.000940921076068,0.0175670220000943,5.39777567953839e-05
mix_0004_depth100,5.88740067032891e-05,5.8874006810105e-05,0.700846689233191,0.0089409034655781,5.8874006702113e-05,0.0492772071549891,5.88740067459781e-05,5.88740064717176e-05,0.236360134943168,0.0025666998132556,0.0015962473430082,5.88740067024854e-05,5.88740066727487e-05
mix_0004_depth25,0.005936892723932,8.27348124908303e-05,0.6934674858358743,8.27348125054915e-05,8.27348125054921e-05,0.0435230189865709,8.27348125157755e-05,8.27348122878655e-05,0.248546589293122,0.0031850600797787,0.0047618093934075,8.27348125054932e-05,8.27348125035969e-05
mix_0005_depth100,0.0122808719229801,8.47127173895245e-05,0.590139178408715,0.0040495473231411,8.47127169562182e-05,0.112540769791876,8.47127169988461e-05,8.47127167834921e-05,0.2761219650872,0.0042746784473183,8.4712716691655e-05,8.47127169639923e-05,8.47127169858572e-05
mix_0005_depth25,0.0092267125704091,8.4163717603458e-05,0.5436857679665763,8.41637175953057e-05,8.41637175953104e-05,0.124538827155472,8.41637175992813e-05,8.4163717608458e-05,0.309053678550646,0.0028363039110672,0.0004835305019077,8.41637175953104e-05,0.009670197038324
mix_0006_depth100,5.85576623851755e-05,0.0029212462747251,0.6165835198279952,5.85576623834721e-05,0.0915671271878738,5.85576623716499e-05,5.85576619654357e-05,5.85576608276874e-05,0.248819964918267,0.0396396804943731,5.85576620062776e-05,5.85576623739983e-05,5.85576624534324e-05
mix_0006_depth25,8.62748620254551e-05,0.0033696996788059,0.6078200076203191,8.62748620257023e-05,0.0956456030229497,0.0033759139897048,8.62748633113476e-05,8.62748621752384e-05,0.243261796275501,0.0459230553773457,8.62748614278646e-05,8.62748620257098e-05,8.62748623827136e-05
mix_0007_depth100,6.30661656851256e-05,6.3066165501565e-05,0.752774672388292,0.0016745610893339,0.0280393578199759,6.30661656854997e-05,6.30661657965606e-05,6.30661657193768e-05,0.21502206249112,0.0019848168858529,6.30661653909367e-05,6.3066165645699e-05,6.30661660005161e-05
