spot_id,B-cells,CAFs,Cancer LumA,Cancer LumB,Cancer Other,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
mix_0000_depth100,0.0,0.0,0.4365907507468343,0.06234357959997503,0.2714215807356938,0.0,0.0,0.0,0.0,0.0,0.22724666879256344,0.0,0.0,0.0,0.0
mix_0000_depth25,0.0,0.0,0.46485127638044316,0.0,0.34982529623064657,0.0,0.0,0.0,0.0,0.011261897056535668,0.1864612879686432,0.0,0.0,0.0,0.0
mix_0001_depth100,0.0,0.0,0.34889119618178405,0.1948779359757171,0.0,0.0,0.0,0.0,0.0,0.0,0.3312792794939725,0.0,0.0,0.0,0.0
mix_0001_depth25,0.0,0.0,0.38252039485373573,0.20786666741387766,0.0,0.0,0.0,0.0,0.0,0.0,0.30898693742297517,0.0,0.0,0.0,0.0
mix_0002_depth100,0.0,0.0,0.51281779877714,0.16344188184109784,0.0,0.0,0.0,0.0,0.0,0.013973202196168143,0.19299436303583575,0.0,0.0,0.0,0.0
mix_0002_depth25,0.0,0.0,0.5279200760706229,0.16144763069245735,0.0,0.0,0.0,0.0,0.0,0.01265457441772392,0.18015703349905218,0.0,0.0,0.0,0.0
mix_0003_depth100,0.0,0.0,0.1933863714995003,0.0,0.1687631368736156,0.0,0.0,0.07250182891894838,0.0,0.0014876667712399644,0.39758840710823085,0.0,0.0,0.0,0.0
mix_0003_depth25,0.0,0.0,0.21639612838679007,0.0,0.15611749242529305,0.012309759049653592,0.0,0.07245301989958952,0.0,0.00031323168787469527,0.37708903605740424,0.0,0.0,0.0,0.0
mix_0004_depth100,0.0,0.0,0.1392998751898125,0.014325656338387983,0.28540490284254616,0.0,0.0,0.029596170027673285,0.0,0.0,0.386816630388705,0.0,0.0,0.0,0.0
mix_0004_depth25,0.0,0.0,0.18339404382222116,0.0,0.254050814456787,0.0,0.0,0.024948184639041564,0.0,0.0,0.38944913804387604,0.0,0.0,0.0,0.0
mix_0005_depth100,0.0,0.0,0.31471417933025064,0.1641967232342258,0.0,0.0,0.0,0.10399193887222691,0.0,0.0,0.28564946702712585,0.0,0.0,0.0,0.0
mix_0005_depth25,0.0,0.0,0.28295658753094916,0.1704517991167038,0.0,0.0,0.0,0.1078434063025483,0.0,0.0,0.300070706167983,0.0,0.0,0.0,0.0
mix_0006_depth100,0.0,0.0,0.46650113272995053,0.13111744841501516,0.0,0.0,0.0,0.0,0.0,0.0,0.25171426325464175,0.0,0.0,0.0,0.0
mix_0006_depth25,0.0,0.0,0.42397941695244556,0.15646926682658427,0.0,0.0,0.0,0.0,0.0,0.0,0.2699698676470463,0.0,0.0,0.0,0.0
mix_0007_depth100,0.0,0.0,0.5189103091062711,0.2596315490346944,0.0,0.0,0.0,0.0,0.0,0.0,0.11984480596127871,0.0,0.0,0.0,0.0
mix_0007_depth25,0.0,0.0,0.5381662141331013,0.2314238578308498,0.0,0.0,0.0,0.0,0.0,0.0,0.12517150762700638,0.0,0.0,0.0,0.0
mix_0008_depth100,0.0,0.0,0.05318460107780331,0.12550840406929778,0.2293788512497913,0.0,0.0,0.0,0.0,0.008417879331346858,0.3982645525735676,0.0,0.0,0.0,0.0
mix_0008_depth25,0.0,0.0,0.03739809437700305,0.10576771445704293,0.22774966443206715,0.0,0.0,0.0,0.0,0.0073345875251558,0.4351625741045334,0.0,0.0,0.0,0.0
mix_0009_depth100,0.0,0.005593277836005389,0.267722888755019,0.1706714007859903,0.07899847640026907,0.0,0.0,0.0,0.0,0.034672018314734515,0.3525499277247985,0.0,0.0,0.0,0.0
mix_0009_depth25,0.0,0.03416894405128178,0.22531760279885915,0.16488604842571458,0.1261764052137681,0.0,0.0,0.0,0.0,0.029751085555345676,0.30613845059588296,0.0,0.0,0.0,0.0
mix_0010_depth100,0.0,0.042144172649530146,0.22457098861801292,0.15337299511733743,0.07581458967244377,0.0,0.0,0.05179897533497553,0.0,0.026545107060735956,0.23682914453842216,0.043890334801721775,0.0,0.0,0.0
mix_0010_depth25,0.0,0.05093491886990511,0.1972399542364488,0.11246093852060686,0.13508622833429795,0.0,0.0,0.04152970188376205,0.0,0.024074069120084692,0.27316378255239543,0.02975563557127943,0.0,0.0,0.0
mix_0011_depth100,0.0,0.0,0.2603011809181288,0.2572209655747317,0.0,0.0,0.0,0.0,0.0,0.0,0.3883828901298969,0.0,0.0,0.0,0.0
mix_0011_depth25,0.0,0.0,0.27360040343417147,0.26163161137594887,0.0,0.0,0.0,0.0,0.0,0.0,0.3717302818270652,0.0,0.0,0.0,0.0
mix_0012_depth100,0.0,0.0,0.2005730500708743,0.11662159246930179,0.18133381216414943,0.0,0.0,0.0,0.0,0.0,0.4553389993678157,0.0,0.0,0.0,0.0
mix_0012_depth25,0.0,0.0,0.1943258387802093,0.07894546836595695,0.24251303561790755,0.0,0.0,0.0,0.0,0.0,0.4505081700918069,0.0,0.0,0.0,0.0
mix_0013_depth100,0.0,0.0,0.11444034230544774,0.2810771310085914,0.0,0.0,0.0,0.0,0.0,0.0,0.5117849297672916,0.0,0.0,0.0,0.0
mix_0013_depth25,0.0,0.0,0.10948667874179767,0.29634048608298075,0.0,0.0,0.0,0.0,0.0,0.0,0.4934309943391648,0.0,0.0,0.0,0.0
mix_0014_depth100,0.0,0.008534097320550865,0.2720533440278766,0.12598712605127213,0.17180127073011517,0.0,0.0,0.0003744338650170985,0.0,0.06341147019562542,0.24958960103756403,0.0,0.0,0.0,0.0
mix_0014_depth25,0.0,0.0020974827510016527,0.23377227172019274,0.10587714593211178,0.23023490944510389,0.0,0.0,0.0,0.0,0.07173526925698114,0.24096954564157896,0.0,0.0,0.0,0.0
mix_0015_depth100,0.0,0.0,0.13535548324615035,0.14758402382240424,0.1434703905037894,0.0,0.0,0.0,0.0,0.0,0.43126790216242405,0.0,0.0,0.0,0.0
mix_0015_depth25,0.0,0.0,0.11157912346695942,0.1272325306929536,0.18535046116253753,0.0,0.0,0.0,0.0,0.0,0.4357308189491616,0.0,0.0,0.0,0.0
mix_0016_depth100,0.0,0.0,0.7123315865807847,0.05435308026252887,0.0,0.0,0.0,0.0,0.0,0.0,0.053401090819846536,0.0,0.0,0.0,0.0
mix_0016_depth25,0.0,0.0,0.7357171540763604,0.06122341248174293,0.0,0.0,0.0,0.0,0.0,0.0,0.03125316308172054,0.0,0.0,0.0,0.0
mix_0017_depth100,0.0,0.0,0.2685844310121029,0.14063728029555897,0.10902048240389187,0.0,0.0,0.0,0.0,0.0,0.36123583945578897,0.0,0.0,0.0,0.0
mix_0017_depth25,0.0,0.0,0.2672170936061526,0.053399057358001746,0.21763646821538182,0.0,0.0,0.0,0.0,0.00010012523643680071,0.37429700714745706,0.0,0.0,0.0,0.0
mix_0018_depth100,0.0,0.0,0.3931047025527755,0.21395950097890146,0.0,0.0,0.0,0.0,0.0,0.032398492900020066,0.3041493825414632,0.0,0.0,0.0,0.0
mix_0018_depth25,0.0,0.0,0.3713453996581173,0.22574076988493483,0.0,0.0,0.0,0.0,0.0,0.02611718055301589,0.3343619336509297,0.0,0.0,0.0,0.0
mix_0019_depth100,0.0,0.014566110144998784,0.11649790876965226,0.0,0.1947759863931401,0.048874209576560045,0.0,0.0,0.0,0.05201010685187015,0.38348186214260965,0.0,0.0,0.0,0.0
mix_0019_depth25,0.0,0.010568523795268157,0.10319833363381699,0.0,0.19865948870265598,0.05622034267474827,0.0,0.0,0.0,0.0572540741196321,0.3802603480061124,0.0,0.0,0.0,0.0
mix_0020_depth100,0.0,0.0,0.001454217441175317,0.02610542579660415,0.2877312996620599,0.0,0.0,0.0,0.0,0.0,0.5645353453234001,0.0,0.0,0.0,0.0
mix_0020_depth25,0.0,0.0,0.0,0.07627810737884577,0.19683264434273312,0.0,0.0,0.0,0.0,0.0,0.6053830964167053,0.0,0.0,0.0,0.0
mix_0021_depth100,0.0,0.0,0.0,0.1968546635688638,0.06317428707926143,0.0,0.0,0.0,0.0,0.0,0.6891923543543808,0.0,0.0,0.0,0.0
mix_0021_depth25,0.0,0.0,0.0,0.2622984744266651,0.0,0.0,0.0,0.0,0.0,0.0,0.6749712317445777,0.0,0.0,0.0,0.0
mix_0022_depth100,0.0,0.004060287116761405,0.17228369606804875,0.2396802891634394,0.010679295234570578,0.0,0.0,0.0,0.0,0.07126037032648377,0.392122060918211,0.0,0.0,0.0,0.0
mix_0022_depth25,0.0,0.007155646674536973,0.14780459625315936,0.2647425272974547,0.0,0.0,0.0,0.0,0.0,0.06391693725867527,0.39020090361447424,0.0,0.0,0.0,0.0
mix_0023_depth100,0.0,0.03548492185942424,0.15205464279785263,0.33928632963886834,0.0,0.0,0.0,0.0,0.0,0.07461003963023831,0.26490019283594535,0.0,0.0,0.0,0.0
mix_0023_depth25,0.0,0.025330114022672996,0.17581830588575983,0.32601794890134916,0.0,0.0,0.0,0.0,0.0,0.0655624966202707,0.25636717997793446,0.0,0.0,0.0,0.0
mix_0024_depth100,0.0,0.0,0.34308516286106516,0.1635003841961779,0.003394544517316047,0.0,0.0,0.08747335047324398,0.0,0.0,0.3019705766693434,0.0,0.0,0.0,0.0
mix_0024_depth25,0.0,0.0,0.3436319808221625,0.14057385170991,0.040797533969158896,0.0,0.0,0.0872060929832955,0.0,0.0,0.2826044320986693,0.0,0.0,0.0,0.0
mix_0025_depth100,0.0,0.0,0.46408176889042285,0.0,0.1622034207308069,0.0,0.0,0.041184700514766207,0.0,0.002206479045501949,0.19660681598243435,0.0,0.0,0.0,0.0
mix_0025_depth25,0.0,0.0,0.44339587627897536,0.0,0.13780529033329672,0.0,0.0,0.03388691755916572,0.0,0.03060937329070667,0.21663786307981767,0.0,0.0,0.0,0.0
mix_0026_depth100,0.0,0.011693417046951005,0.49847308282676317,0.14830986022819462,0.0,0.0,0.0,0.04036261035979535,0.0,0.03563585820819015,0.07328329674962357,0.02743141980187525,0.0,0.0,0.0
mix_0026_depth25,0.0,0.015439957927351622,0.5340277728487465,0.12331540245728385,0.0,0.0,0.0,0.04133806026689684,0.0,0.04577631554111078,0.06719007288129956,0.017409201307461604,0.0,0.0,0.0
mix_0027_depth100,0.0,0.017237519209321726,0.0,0.10334617953564902,0.12349028450757886,0.011449681222259608,0.1499101368324831,0.03750637932336653,0.0,0.013604687164872814,0.43610127274021177,0.0,0.0,0.0,0.0
mix_0027_depth25,0.0,0.026864259058364752,0.0,0.08826180082647296,0.15384364936870643,0.035690084200683155,0.12646606369956478,0.02598503500701384,0.0,0.004694248005730075,0.4334723878983504,0.0,0.0,0.0,0.0
mix_0028_depth100,0.0,0.05490593948753957,0.029133146775241474,0.12253492452952296,0.2892336804176535,0.0,0.0,0.017190871549010656,0.0,0.016159728999145882,0.35747137911524396,0.0,0.0,0.0,0.0
mix_0028_depth25,0.0,0.045908726059585056,0.012056542814039317,0.1580610218235332,0.2609217641480104,0.0,0.0,0.01043250604313665,0.0,0.00877794626742756,0.38805972535853317,0.0,0.0,0.0,0.0
mix_0029_depth100,0.0,0.01634650210809693,0.17994477900539593,0.007012285145806217,0.2840436535369612,0.0,0.0,0.0015204251814868255,0.0,0.0,0.3947818192534786,0.0,0.0,0.0,0.0
mix_0029_depth25,0.0,0.027380599278217264,0.18191191842013946,0.11109367362925918,0.14514965569106175,0.0,0.0,0.012675930676667634,0.0,0.0,0.36638439793088473,0.0,0.0,0.0,0.0
mix_0030_depth100,0.0,0.0,0.42838570219098177,0.05675415861616611,0.2395761989333122,0.0,0.0,0.0,0.0,0.06141800149318701,0.17936150071202772,0.0,0.0,0.0,0.0
mix_0030_depth25,0.0,0.0,0.41154385249353315,0.07827346474107297,0.18337655896789257,0.0,0.0,0.0,0.0,0.05901260765493564,0.22029737306394606,0.0,0.0,0.0,0.0
mix_0031_depth100,0.0,0.0,0.1197014641093893,0.026290989822720795,0.32402229771245517,0.0,0.0,0.00045991325016858485,0.0,0.024902004663059155,0.4082439075779526,0.0,0.0,0.0,0.0
mix_0031_depth25,0.0,0.0,0.08149554882358702,0.0,0.3632820708517891,0.0,0.0,0.0,0.0,0.023174364367245365,0.4484283227192592,0.0,0.0,0.0,0.0
mix_0032_depth100,0.0,0.01670295342132958,0.3282722378229537,0.10946618826718524,0.008539392659681126,0.0,0.0,0.0,0.0,0.0,0.3904803808617249,0.0,0.0,0.0,0.0
mix_0032_depth25,0.0,0.009066163803504586,0.3102724847171723,0.09989359164831385,0.032892119517684594,0.0,0.0,0.013892967809658716,0.0,0.0,0.3855435628819248,0.0,0.0,0.0,0.0
