pathology,CAFs,T cells CD8+,Cancer Epithelial,PVL
Adipose tissue,0.03923302447766907,0.028457748196913362,0.7016535106000219,0.00013330698466297326
Invasive cancer,0.02752093197953761,0.00012849839785328238,0.8590040130656993,0.00013361652550447428
Invasive cancer + adipose tissue + lymphocytes,0.017256432700674954,9.40738250734354e-05,0.8789143478738098,0.004985889416893932
Invasive cancer + lymphocytes,0.02237135781470677,0.00013120681411164255,0.8574877310002981,0.002038505088553656
Lymphocytes,0.06830999304792486,0.021509867867872123,0.4044300918475721,0.00041333346331751504
Missing,0.004487888232906308,0.0027942887889282043,0.8823898785460595,0.006364085338347778
Stroma,0.14211286915855995,0.01056506952377567,0.5003059355075978,0.00020563224778540615
Uncertain,0.04372336280115606,0.00019249081624493153,0.7875245209361772,0.004701397500154438
