,total_counts,n_genes_by_counts,pct_counts_mt
count,1102.0,1102.0,1102.0
mean,13463.908348457351,4374.724137931034,7.122249028186286
std,7071.987535214036,1366.322779713214,3.1035306658296875
min,665.0,510.0,1.6878516357574493
25%,8676.75,3579.0,4.855354198409812
50%,12883.0,4526.5,6.5480726106900065
75%,17278.75,5328.75,8.679094995790754
max,53161.0,8803.0,18.72545719735218
