spot_id,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
mix_0000_depth100,0.0,0.0,0.3893403603069446,0.0,0.0,0.0,0.5923082997696552,0.0,0.0,0.0183513399234002
mix_0000_depth25,0.0,0.0,0.3747224526268357,0.0,0.0,0.0,0.5879085199493833,0.0,0.0,0.0373690274237809
mix_0001_depth100,0.0,0.0,0.3692601062196542,0.0,0.0,0.0,0.6307398937803458,0.0,0.0,0.0
mix_0001_depth25,0.0,0.0,0.3868576753010885,0.0,0.0,0.0,0.6131423246989114,0.0,0.0,0.0
mix_0002_depth100,0.0,0.0,0.3748817806170708,0.0,0.0,0.0,0.5814657249278596,0.0,0.0,0.0436524944550694
mix_0002_depth25,0.0,0.0,0.3780587153748211,0.0,0.0,0.0,0.5790744467868312,0.0,0.0,0.0428668378383476
mix_0003_depth100,0.0,0.0,0.1930368567698757,0.0,0.090496898768944,0.0,0.6617861135900523,0.0,0.0,0.0546801308711278
mix_0003_depth25,0.0,0.0,0.1900107479380741,0.0,0.090185843766124,0.0,0.65065636976318,0.0,0.0,0.0691470385326218
mix_0004_depth100,0.0,0.0,0.2953353021433605,0.0,0.0531098536617931,0.0,0.6515548441948463,0.0,0.0,0.0
mix_0004_depth25,0.0,0.0,0.2658953243276519,0.0,0.0485521101843563,0.0,0.6855525654879918,0.0,0.0,0.0
mix_0005_depth100,0.0,0.0,0.3188683064995458,0.0,0.127766378649756,0.0,0.5533653148506981,0.0,0.0,0.0
mix_0005_depth25,0.0,0.0,0.3182461957851993,0.0,0.1321566153121585,0.0,0.5495971889026421,0.0,0.0,0.0
mix_0006_depth100,0.0,0.0,0.336221053898855,0.0,0.0,0.0,0.6493804655604382,0.0,0.0,0.0143984805407069
mix_0006_depth25,0.0,0.0,0.3574941737339324,0.0,0.0,0.0,0.6410510659452796,0.0,0.0,0.0014547603207879
mix_0007_depth100,0.0,0.0,0.4958717666769878,0.0,0.0,0.0,0.4976841383850686,0.0,0.0,0.0064440949379435
mix_0007_depth25,0.0,0.0,0.4691328733206448,0.0,0.0,0.0,0.5219517380996922,0.0,0.0,0.008915388579663
mix_0008_depth100,0.0,0.0,0.3846704039466423,0.0,0.0108182462233501,0.0,0.5982338903264641,0.0,0.0,0.0062774595035434
mix_0008_depth25,0.0,0.0,0.3507801018905354,0.0,0.0109495760351526,0.0,0.6343968782724093,0.0,0.0,0.0038734438019026
mix_0009_depth100,0.0,0.0068360258434003,0.3532880763859897,0.0,0.0,0.0,0.588379223684293,0.0,0.0,0.051496674086317
mix_0009_depth25,0.0,0.0395002823424814,0.378851004413979,0.0,0.0,0.0,0.5367726752945661,0.0,0.0,0.0448760379489733
mix_0010_depth100,0.0,0.0550916062991825,0.3379642788102219,0.0,0.0678910096748604,0.0,0.4617324165556047,0.0337997836717617,0.0,0.0435209049883686
mix_0010_depth25,0.0,0.0635472913142352,0.3205990840086807,0.0,0.0586721457519739,0.0,0.5027692161021119,0.0171877030614461,0.0,0.0372245597615521
mix_0011_depth100,0.0,0.0,0.4011468514985508,0.0,0.0,0.0,0.5988531485014491,0.0,0.0,0.0
mix_0011_depth25,0.0,0.0,0.4106136654801303,0.0,0.0,0.0,0.5893863345198697,0.0,0.0,0.0
mix_0012_depth100,0.0,0.0,0.3315780771080839,0.0,0.0,0.0,0.668421922891916,0.0,0.0,0.0
mix_0012_depth25,0.0,0.0,0.3261997855316316,0.0,0.0,0.0,0.6738002144683684,0.0,0.0,0.0
mix_0013_depth100,0.0,0.0,0.3785454792738826,0.0,0.0,0.0,0.6214545207261174,0.0,0.0,0.0
mix_0013_depth25,0.0,0.0,0.3987031331965338,0.0,0.0,0.0,0.6012968668034662,0.0,0.0,0.0
mix_0014_depth100,0.0,0.0070244767283274,0.3791870901607644,0.0,0.0131717745500058,0.0,0.5196578577815636,0.0,0.0,0.0809588007793385
mix_0014_depth25,0.0,0.0,0.3913540521072326,0.0,0.0091739718318417,0.0,0.5082599062595266,0.0,0.0,0.091212069801399
mix_0015_depth100,0.0,0.0,0.3543555256675911,0.0,0.0,0.0,0.6456444743324089,0.0,0.0,0.0
mix_0015_depth25,0.0,0.0,0.3526832247376564,0.0,0.0,0.0,0.6473167752623437,0.0,0.0,0.0
mix_0016_depth100,0.0,0.0,0.3456127312314127,0.0,0.0,0.0,0.6543872687685873,0.0,0.0,0.0
mix_0016_depth25,0.0,0.0,0.3604659465328636,0.0,0.0,0.0,0.6395340534671364,0.0,0.0,0.0
mix_0017_depth100,0.0,0.0,0.3545790257313902,0.0,0.0,0.0,0.6377758421485801,0.0,0.0,0.0076451321200297
mix_0017_depth25,0.0,0.0,0.315694308842821,0.0,0.0,0.0,0.6698153986695555,0.0,0.0,0.0144902924876234
mix_0018_depth100,0.0,0.0,0.3719704403279039,0.0,0.0,0.0,0.5741863184904227,0.0,0.0,0.0538432411816733
mix_0018_depth25,0.0,0.0,0.373285665926296,0.0,0.0,0.0,0.5815087992137048,0.0,0.0,0.0452055348599991
mix_0019_depth100,0.0,0.0115583965803779,0.1998527543602786,0.0,0.0,0.0,0.6128799476321031,0.0,0.0,0.1757089014272403
mix_0019_depth25,0.0,0.0059515595449148,0.1997740338896757,0.0,0.0,0.0,0.602664813910668,0.0,0.0,0.1916095926547415
mix_0020_depth100,0.0,0.0,0.2569324863039156,0.0,0.0,0.0,0.7430675136960845,0.0,0.0,0.0
mix_0020_depth25,0.0,0.0,0.2481933143757024,0.0,0.0,0.0,0.7518066856242975,0.0,0.0,0.0
mix_0021_depth100,0.0,0.0,0.272478545269911,0.0,0.0,0.0,0.7275214547300889,0.0,0.0,0.0
mix_0021_depth25,0.0,0.0,0.3060578579470832,0.0,0.0,0.0,0.6939421420529168,0.0,0.0,0.0
mix_0022_depth100,0.0,0.0044742686057011,0.3612668170735991,0.0,0.0,0.0,0.5466390709928081,0.0,0.0,0.0876198433278916
mix_0022_depth25,0.0,0.0078860174394875,0.3825440496693673,0.0,0.0,0.0,0.5303478424180086,0.0,0.0,0.0792220904731366
mix_0023_depth100,0.0,0.0407762693443002,0.4808669894536973,0.0,0.0,0.0,0.3859926618175425,0.0,0.0,0.0923640793844599
mix_0023_depth25,0.0,0.0289452005657246,0.4825135681317804,0.0,0.0,0.0,0.4039880951839287,0.0,0.0,0.0845531361185661
mix_0024_depth100,0.0,0.0,0.3150252440141742,0.0,0.1018040788345496,0.0,0.5682620271740982,0.0,0.0,0.0149086499771778
mix_0024_depth25,0.0,0.0,0.3179283658559588,0.0,0.1047970498164076,0.0,0.5644172909941579,0.0,0.0,0.0128572933334755
mix_0025_depth100,0.0,0.0,0.2849500590219194,0.0,0.0650747382659935,0.0,0.6266577656291556,0.0,0.0,0.0233174370829312
mix_0025_depth25,0.0,0.0,0.2584313548743753,0.0,0.0547762795089368,0.0,0.6292129798071683,0.0,0.0,0.0575793858095195
mix_0026_depth100,0.0,0.0271694687237392,0.3745902656491168,0.0,0.0560613232543156,0.0,0.4680387654127558,0.0,0.0,0.0741401769600725
mix_0026_depth25,0.0,0.0254171623809345,0.3494613188904685,0.0042103143362438,0.056339189852561,0.0,0.4810244226320775,0.0,0.0,0.0835475919077145
mix_0027_depth100,0.0,0.0154683446541381,0.2204326652372046,0.1629462063409144,0.043282865010802,0.0,0.5094183025368788,0.0,0.0,0.04845161622006183
mix_0027_depth25,0.0,0.0263533534419716,0.2217046994567517,0.1300015565373262,0.0308413799676278,0.0,0.5151675570045803,0.0,0.0,0.0759314535917421
mix_0028_depth100,0.0,0.0573582003006659,0.3897374822381824,0.0,0.0350893122548704,0.0,0.5064440705922888,0.0,0.0,0.0113709346139922
