spot_id,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
mix_0000_depth100,0.0,0.0,0.3815434063935263,0.0,0.0,0.0,0.5793690441941005,0.0,0.0,0.0
mix_0000_depth25,0.0,0.0,0.3754652345534562,0.0,0.0,0.0,0.5882339121631575,0.0,0.0,0.0
mix_0001_depth100,0.0,0.0,0.3219374210737411,0.0,0.0,0.0,0.5489132801711499,0.0,0.0,0.0
mix_0001_depth25,0.0,0.0,0.3465757616853718,0.0,0.0,0.0,0.5483213894541016,0.0,0.0,0.0
mix_0002_depth100,0.0,0.0,0.34186194765235156,0.0,0.0,0.0,0.5310100154202553,0.0,0.0,0.0
mix_0002_depth25,0.0,0.0,0.34387271132857977,0.0,0.0,0.0,0.5278712009300517,0.0,0.0,0.0
mix_0003_depth100,0.0,0.0,0.16402286844200156,0.0,0.0875190166527455,0.0,0.5661906418609717,0.0,0.0,0.0
mix_0003_depth25,0.0,0.0,0.16323869241781586,0.0,0.09084049893764598,0.0,0.563486412199592,0.0,0.0,0.0
mix_0004_depth100,0.0,0.0,0.24412920904488794,0.0,0.043810435497802364,0.0,0.5375238108624185,0.0,0.0,0.0
mix_0004_depth25,0.0,0.0,0.21970832338795515,0.0,0.0401115412441277,0.0,0.5656335581246638,0.0,0.0,0.0
mix_0005_depth100,0.0,0.0,0.27672211581361705,0.0,0.11075189559775461,0.0,0.47938681002155126,0.0,0.0,0.0
mix_0005_depth25,0.0,0.0,0.27389929067300794,0.0,0.113712446572882,0.0,0.4720270002385996,0.0,0.0,0.0
mix_0006_depth100,0.0,0.0,0.2880551380223195,0.0,0.0,0.0,0.5547719985492855,0.0,0.0,0.0
mix_0006_depth25,0.0,0.0,0.30273691694907306,0.0,0.0,0.0,0.5420337565861152,0.0,0.0,0.0
mix_0007_depth100,0.0,0.0,0.445405626803325,0.0,0.0,0.0,0.4475105799756172,0.0,0.0,0.0
