variant,method,depth_fraction,cell_type,n_spots,dominant_matches,mean_weight_on_true_type,mean_normal_epithelial_weight
donor_balanced,NNLS,1.0,PVL,5,3,0.531357355711,0.038138285154499164
donor_balanced,NNLS,1.0,T cells CD4+,5,5,0.9010366619165369,0.0
donor_balanced,NNLS,1.0,T cells CD8+,5,3,0.4665803549942975,0.00251207133384458
donor_balanced,NNLS,0.25,B-cells,5,3,0.43318149603119815,0.01147157599976142
donor_balanced,NNLS,0.25,CAFs,5,5,0.9764247348604214,0.01235907862650586
donor_balanced,NNLS,0.25,Cancer Epithelial,5,1,0.43436128005016766,0.44833208184903944
donor_balanced,NNLS,0.25,Cycling T-cells,5,5,0.8683112535777078,0.0
donor_balanced,NNLS,0.25,Endothelial,5,5,0.6364981223523308,0.0
donor_balanced,NNLS,0.25,Myeloid,5,5,0.9903074843388351,0.0
donor_balanced,NNLS,0.25,NK cells,5,4,0.5973519703141829,0.00092033913274956
donor_balanced,NNLS,0.25,NKT cells,5,4,0.7104356760541315,0.0
donor_balanced,NNLS,0.25,PVL,5,3,0.517125050323904,0.02625954084430408
donor_balanced,NNLS,0.25,T cells CD4+,5,5,0.8368224087000815,0.0
donor_balanced,NNLS,0.25,T cells CD8+,5,4,0.6080969898048425,0.00073864706462398
epithelial_split,RCTD,1.0,B-cells,5,5,0.9872753759068648,4.7525429839254186e-05
epithelial_split,RCTD,1.0,CAFs,5,5,0.9734226005836077,2.280937171751372e-05
epithelial_split,RCTD,1.0,Cancer Epithelial,5,5,0.7555387697276602,0.22544499295700518
epithelial_split,RCTD,1.0,Cycling T-cells,5,0,0.21624288791006122,6.077216588331606e-05
epithelial_split,RCTD,1.0,Endothelial,5,5,0.9790589128076015,3.1175528177797836e-05
epithelial_split,RCTD,1.0,Myeloid,5,5,0.995477067726086,3.412039633868796e-05
epithelial_split,RCTD,1.0,NK cells,5,5,0.8127111971318748,4.17926933541314e-05
epithelial_split,RCTD,1.0,NKT cells,5,5,0.6284805346166547,4.6526649671736934e-05
epithelial_split,RCTD,1.0,PVL,5,5,0.7813265765172864,0.0337573257730007
epithelial_split,RCTD,1.0,T cells CD4+,5,1,0.4475807244872444,8.219028956521935e-05
epithelial_split,RCTD,1.0,T cells CD8+,5,5,0.9511528614483508,4.6934932955072445e-05
epithelial_split,RCTD,0.25,B-cells,5,5,0.9704629668828438,3.963639584826558e-05
epithelial_split,RCTD,0.25,CAFs,5,5,0.9566021574036645,1.754663859380528e-05
epithelial_split,RCTD,0.25,Cancer Epithelial,5,5,0.7168704754295325,0.2587502208611452
epithelial_split,RCTD,0.25,Cycling T-cells,5,0,0.2547003883951958,6.857935470830087e-05
epithelial_split,RCTD,0.25,Endothelial,5,5,0.9468838359437358,4.1311360116578896e-05
epithelial_split,RCTD,0.25,Myeloid,5,5,0.9827125427471423,2.8054467656065043e-05
epithelial_split,RCTD,0.25,NK cells,5,5,0.8219726767598413,3.892678447988726e-05
epithelial_split,RCTD,0.25,NKT cells,5,3,0.5414926372942422,3.473053671068066e-05
epithelial_split,RCTD,0.25,PVL,5,5,0.7336139826578242,0.034934264288118966
epithelial_split,RCTD,0.25,T cells CD4+,5,3,0.5714483841416028,7.226330911703195e-05
epithelial_split,RCTD,0.25,T cells CD8+,5,5,0.8871769919265479,3.6597106978689716e-05
epithelial_split,NNLS,1.0,B-cells,5,4,0.6482222177122451,0.0371804163399448
epithelial_split,NNLS,1.0,CAFs,5,5,0.9278859093976812,0.0
epithelial_split,NNLS,1.0,Cancer Epithelial,5,5,0.6946352979843133,0.30206389991832594
epithelial_split,NNLS,1.0,Cycling T-cells,5,5,0.7258789740637412,0.0
epithelial_split,NNLS,1.0,Endothelial,5,5,0.5485219070299795,0.0
epithelial_split,NNLS,1.0,Myeloid,5,5,0.9769928307752469,0.02094858889688192
epithelial_split,NNLS,1.0,NK cells,5,3,0.4275473061031268,0.06075086876106439
epithelial_split,NNLS,1.0,NKT cells,5,5,0.8054827921670873,0.0
epithelial_split,NNLS,1.0,PVL,5,4,0.5092475873287828,0.0556590300393941
epithelial_split,NNLS,1.0,T cells CD4+,5,5,0.9214939281262376,0.018293456057350537
epithelial_split,NNLS,1.0,T cells CD8+,5,3,0.5359721528559739,0.0
