variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction
baseline,RCTD,rna,pure,0.25,Epithelial total,55,2.3250468438162852,7.7743657420856795,1.349389368921282,5.366116111922518,2.020939917005662,0.08
baseline,RCTD,rna,pure,1.0,B-cells,55,0.2949283502013327,0.8171615083212448,0.04415815474382375,1.379236075016299,0.18649757771983605,0.06
baseline,RCTD,rna,pure,1.0,CAFs,55,0.6710008275987034,2.589274274417239,0.17778057137637224,2.7127114092228206,0.46682976943629145,0.06
baseline,RCTD,rna,pure,1.0,Cancer Epithelial,55,4.841982244839342,13.717250555328432,-3.0352384668949464,43.324713914538606,0.9937090778694189,0.08
baseline,RCTD,rna,pure,1.0,Cycling T-cells,55,7.4263966713940235,23.706783279625533,-6.854040222039126,78.54240291388233,0.31479604714519493,0.08
baseline,RCTD,rna,pure,1.0,Endothelial,55,0.37702686821142145,1.5692325170901422,-0.06715725190915625,2.4430126606631775,0.1704282889662459,0.02
baseline,RCTD,rna,pure,1.0,Myeloid,55,0.060007319148258145,0.28768272388765775,-0.025157295305367002,0.4684053794949383,0.01916751311359013,0.0
baseline,RCTD,rna,pure,1.0,NK cells,55,3.311926883825842,8.559238599542592,0.11884627219119105,17.561943363990583,1.8869252358093682,0.14
baseline,RCTD,rna,pure,1.0,NKT cells,55,3.4128565661840535,11.729437072317603,-3.183011982188402,36.27727701604851,0.12641452119760857,0.02
baseline,RCTD,rna,pure,1.0,Normal Epithelial,55,4.18100063747113,12.49583477756153,4.18100063747113,,4.181000637471131,0.14545454545454545
baseline,RCTD,rna,pure,1.0,PVL,55,2.255543089139921,9.024102659153035,-1.784337719176526,22.21934444574046,0.25916295347986806,0.06
baseline,RCTD,rna,pure,1.0,Plasmablasts,55,0.11249075282714867,0.35827933723891064,0.11249075282714867,,0.11249075282714867,0.01818181818181818
baseline,RCTD,rna,pure,1.0,T cells CD4+,55,6.762365102251065,17.21199813170884,-1.9686001075736324,48.020308654035844,2.636570747072587,0.22
baseline,RCTD,rna,pure,1.0,T cells CD8+,55,13.407623968685456,25.309274131743763,12.283266656477487,6.1839652171438235,14.129989843839619,0.38
baseline,RCTD,rna,pure,1.0,Epithelial total,55,1.6677498227710883,5.982710002731903,1.1457621705761827,2.87093208707198,1.547431596340999,0.08
baseline,RCTD,cells,factorial,0.25,B-cells,189,1.2471243153845342,3.0671583861197327,-0.9914061393974041,7.834856591736784,0.14916893599249273,0.043209876543209874
baseline,RCTD,cells,factorial,0.25,CAFs,189,4.911510415937909,7.996674004406235,0.11238685629326073,7.342282915780473,0.049965416252780295,0.0
baseline,RCTD,cells,factorial,0.25,Cancer Epithelial,189,18.678248094590412,21.31761119297593,-18.099869246051572,18.678248094590412,,
baseline,RCTD,cells,factorial,0.25,Cycling T-cells,189,1.7824753043758241,3.6331823296789456,-0.10637093697661865,6.648438868025994,0.9714813771007956,0.20987654320987653
baseline,RCTD,cells,factorial,0.25,Endothelial,189,0.9811178399586945,2.840302261510129,-0.6169274405539336,6.461685884268872,0.06768983257366501,0.018518518518518517
baseline,RCTD,cells,factorial,0.25,Myeloid,189,0.8543739510728964,2.0096722046150965,0.011951158275260365,4.479230850660322,0.2502311344749921,0.030864197530864196
baseline,RCTD,cells,factorial,0.25,NK cells,189,1.5106796745301982,3.1849466561780657,-0.6983058561049165,7.731449357222901,0.4738847274147476,0.1728395061728395
baseline,RCTD,cells,factorial,0.25,NKT cells,189,1.3546311128210737,2.975603272507594,-0.7819671931738418,7.478094070982205,0.3340539531275518,0.12345679012345678
baseline,RCTD,cells,factorial,0.25,Normal Epithelial,189,36.75726866901594,38.259992393845245,36.75726866901594,,36.757268669015936,0.9947089947089947
baseline,RCTD,cells,factorial,0.25,PVL,189,8.003689672845917,8.735291251052601,-7.118640879874405,8.003689672845917,,
baseline,RCTD,cells,factorial,0.25,Plasmablasts,189,0.06216856191041733,0.12402111456152526,0.06216856191041733,,0.062168561910417336,0.0
baseline,RCTD,cells,factorial,0.25,T cells CD4+,189,3.0307392520817427,5.016261379972654,1.5869200876367344,5.5800316304491036,2.6058571890205164,0.48148148148148145
