"reference_label","n_unique_source_cells"
"B-cells",33
"CAFs",68
"Cancer Epithelial",1396
"Cycling T-cells",12
"Endothelial",133
"Myeloid",167
"NK cells",16
"NKT cells",8
"Normal Epithelial",14
"Plasmablasts",57
"PVL",357
"T cells CD4+",156
"T cells CD8+",62
