spot_id,base_mixture,scenario,recipe,repeat,depth_fraction,n_cells,nUMI,x,y,coordinate_type
mix_0029_depth25,29,factorial,caf0_cd81_Endothelial,2,0.25,10,9462,59,0,synthetic_index
mix_0030_depth100,30,factorial,caf0_cd81_B-cells,0,1.0,10,34531,60,0,synthetic_index
mix_0030_depth25,30,factorial,caf0_cd81_B-cells,0,0.25,10,8599,61,0,synthetic_index
mix_0031_depth100,31,factorial,caf0_cd81_B-cells,1,1.0,10,32825,62,0,synthetic_index
mix_0031_depth25,31,factorial,caf0_cd81_B-cells,1,0.25,10,8308,63,0,synthetic_index
mix_0032_depth100,32,factorial,caf0_cd81_B-cells,2,1.0,10,34742,64,0,synthetic_index
mix_0032_depth25,32,factorial,caf0_cd81_B-cells,2,0.25,10,8622,65,0,synthetic_index
mix_0033_depth100,33,factorial,caf0_cd81_NK cells,0,1.0,10,52691,66,0,synthetic_index
mix_0033_depth25,33,factorial,caf0_cd81_NK cells,0,0.25,10,13314,67,0,synthetic_index
mix_0034_depth100,34,factorial,caf0_cd81_NK cells,1,1.0,10,31793,68,0,synthetic_index
mix_0034_depth25,34,factorial,caf0_cd81_NK cells,1,0.25,10,8045,69,0,synthetic_index
mix_0035_depth100,35,factorial,caf0_cd81_NK cells,2,1.0,10,35564,70,0,synthetic_index
mix_0035_depth25,35,factorial,caf0_cd81_NK cells,2,0.25,10,8857,71,0,synthetic_index
mix_0036_depth100,36,factorial,caf0_cd81_NKT cells,0,1.0,10,45451,72,0,synthetic_index
mix_0036_depth25,36,factorial,caf0_cd81_NKT cells,0,0.25,10,11330,73,0,synthetic_index
mix_0037_depth100,37,factorial,caf0_cd81_NKT cells,1,1.0,10,32178,74,0,synthetic_index
mix_0037_depth25,37,factorial,caf0_cd81_NKT cells,1,0.25,10,8104,75,0,synthetic_index
mix_0038_depth100,38,factorial,caf0_cd81_NKT cells,2,1.0,10,31822,76,0,synthetic_index
mix_0038_depth25,38,factorial,caf0_cd81_NKT cells,2,0.25,10,7976,77,0,synthetic_index
mix_0039_depth100,39,factorial,caf0_cd81_Cycling T-cells,0,1.0,10,23068,78,0,synthetic_index
mix_0039_depth25,39,factorial,caf0_cd81_Cycling T-cells,0,0.25,10,5741,79,0,synthetic_index
mix_0040_depth100,40,factorial,caf0_cd81_Cycling T-cells,1,1.0,10,45877,80,0,synthetic_index
mix_0040_depth25,40,factorial,caf0_cd81_Cycling T-cells,1,0.25,10,11481,81,0,synthetic_index
mix_0041_depth100,41,factorial,caf0_cd81_Cycling T-cells,2,1.0,10,37273,82,0,synthetic_index
mix_0041_depth25,41,factorial,caf0_cd81_Cycling T-cells,2,0.25,10,9273,83,0,synthetic_index
mix_0042_depth100,42,factorial,caf0_cd83_T cells CD4+,0,1.0,10,42731,84,0,synthetic_index
mix_0042_depth25,42,factorial,caf0_cd83_T cells CD4+,0,0.25,10,10669,85,0,synthetic_index
mix_0043_depth100,43,factorial,caf0_cd83_T cells CD4+,1,1.0,10,17623,86,0,synthetic_index
