spot_id,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
CID4461_mix000_depth100,0.0,0.0,0.0,0.0,0.29229599131407796,0.0,0.0,0.0,0.033910479034015895,0.6737935296519062
CID4461_mix000_depth25,0.0,0.0,0.0,0.0,0.2505459557651852,0.0,0.0,0.0,0.03893678870281457,0.7105172555320003
CID4461_mix001_depth100,0.0,0.0,0.0,0.0,0.28937140103050973,0.0,0.0,0.0,0.030457014841369454,0.6801715841281208
CID4461_mix001_depth25,0.0,0.0,0.0,0.0,0.26487552480206517,0.0,0.0,0.0,0.03771544005175869,0.697409035146176
CID4461_mix002_depth100,0.0,0.0,0.0,8.27736390421605e-05,0.2542280127635959,0.0,0.0,0.0,0.03348389125347052,0.7122053223438913
CID4461_mix002_depth25,0.0,0.0,0.0,0.0,0.2071548239303049,0.0,0.0,0.0,0.0361649529746543,0.7566802230950409
CID4461_mix003_depth100,0.0,0.0,0.0068629434165868915,0.0,0.1556509078463404,0.10368165607905289,0.0,0.0,0.028249896226345522,0.7055545964316743
CID4461_mix003_depth25,0.0,0.0,0.09079163911083601,0.0,0.18045278372231827,0.10932619029055307,0.0,0.0,0.02307076294909852,0.5963586239271942
CID4461_mix004_depth100,0.0,0.0,0.02609280751065258,0.0,0.17873781636217975,0.06536656573398819,0.0,0.0,0.03139625070979758,0.6984065596833818
CID4461_mix004_depth25,0.0,0.0,0.08076698518130865,0.0,0.20008610909845065,0.08355491013645039,0.0,0.0,0.03048478532641652,0.6051072102573738
CID4461_mix005_depth100,0.0,0.0039019044059932766,0.060656487814848184,0.0,0.17938629695400163,0.037572673244955127,0.0,0.0,0.027409177676263958,0.6910734599039378
CID4461_mix005_depth25,0.0,0.0,0.04295618620054673,0.0,0.21838580767207216,0.0,0.0,0.0,0.02726302090979447,0.7113949852175866
CID4461_mix006_depth100,0.0,0.0,0.0,0.0,0.2255846768053055,0.0,0.0,0.0,0.022869128741021774,0.7515461944536727
CID4461_mix006_depth25,0.0,0.0,0.0,0.0,0.2521623841597802,0.0,0.0,0.0,0.024913463688487073,0.7229241521517327
CID4461_mix007_depth100,0.0,0.0,0.0,0.0069682955508194875,0.23166399503993956,0.0,0.0,0.0,0.020849206815899624,0.7405185025933414
CID4461_mix007_depth25,0.0,0.0,0.0,0.0,0.3022201910240175,0.0,0.0,0.0,0.020578744432173113,0.6772010645438095
CID4461_mix008_depth100,0.0,0.005187142647275564,0.0,0.0,0.24425490755577334,0.0,0.0,0.0,0.02695332595931412,0.7236046238376369
CID4461_mix008_depth25,0.0,0.0,0.0,0.0,0.2769788503468103,0.0,0.0,0.0,0.02071056202980587,0.7023105876233838
CID4461_mix009_depth100,0.0,0.0,0.0,0.0,0.11346614920584429,0.08245664830663617,0.0,0.0,0.02439841427553843,0.7796787882119811
CID4461_mix009_depth25,0.0,0.0,0.0,0.04292043534022712,0.22097807525319038,0.027925393294762832,0.0,0.0,0.038463369369388184,0.6697127267424315
CID4461_mix010_depth100,0.0,0.0,0.027703791575587708,0.0,0.17274329921032863,0.0,0.0,0.0765701759114411,0.027199018720246628,0.695783714582396
CID4461_mix010_depth25,0.0,0.0,0.0,0.0,0.1913125538878049,0.0,0.0,0.09522021451900732,0.03781885280538922,0.6756483787877985
CID4461_mix011_depth100,0.0,0.004439343478553449,0.04468639583060569,0.0,0.1650276154714959,0.0,0.0,0.11217630812683926,0.028809502020330564,0.6448608350721753
CID4461_mix011_depth25,0.0,0.0,0.0,0.0,0.16850202714357534,0.0,0.0,0.1503940588690737,0.04426194025414719,0.6368419737332037
CID4461_mix012_depth100,0.0,0.0,0.0,0.013043761733737804,0.22982181827365913,0.0,0.0,0.0,0.02389735285005045,0.7332370671425525
CID4461_mix012_depth25,0.0,0.0,0.0,0.056577297088192514,0.18159502377203637,0.0,0.0,0.0,0.014352761479876451,0.7474749176598946
CID4461_mix013_depth100,0.0,0.0,0.0,0.004766205526381086,0.19323224699076216,0.002536671293093408,0.0,0.0,0.027142057615441077,0.7723228185743224
CID4461_mix013_depth25,0.0,0.0,0.0,0.14479070752893175,0.15758475939468086,0.0,0.0,0.0,0.012770167567221886,0.6848543655091655
CID4461_mix014_depth100,0.0,0.0,0.0,0.0,0.1834681588521372,0.0,0.0,0.0,0.02743696455002443,0.7890948765978383
CID4461_mix014_depth25,0.0,0.0,0.0,0.0779250575921342,0.18442954100093706,0.0,0.0,0.0,0.021020172905214723,0.7166252285017141
CID4461_mix015_depth100,0.0,0.0,0.07933567261681228,0.0,0.1522088821809825,0.3687175129375352,0.0,0.0,0.018416967278026598,0.38132096498664336
CID4461_mix015_depth25,0.0,0.0,0.19443698050461425,0.0,0.1781477094510045,0.3381292661549292,0.0,0.0,0.03220387913636251,0.2570821647530895
CID4461_mix016_depth100,0.0,0.0,0.09763242621534006,0.0,0.15613777937235732,0.3127788704303371,0.0,0.0,0.016325470582621116,0.41712545339934437
CID4461_mix016_depth25,0.0,0.0,0.18543380790485797,0.0,0.16431658452714945,0.2819008780338583,0.0,0.0,0.02899023398236517,0.3393584955517691
CID4461_mix017_depth100,0.0,0.0,0.12434768942714632,0.0,0.1632769486294379,0.27159924926264034,0.0,0.0,0.015886567241496216,0.4248895454392793
CID4461_mix017_depth25,0.0,0.007021346460747457,0.15959257926756917,0.0,0.17411321850278164,0.27018504248424774,0.0,0.006826402473604909,0.02846118365723021,0.3538002271538189
CID4461_mix018_depth100,0.0,0.0,0.0,0.0,0.23479446157624473,0.0,0.0,0.0,0.022559286972536452,0.7426462514512188
CID4461_mix018_depth25,0.0,0.0,0.0,0.0,0.2046080427115215,0.0,0.0,0.0,0.01267582849685024,0.7827161287916283
CID4461_mix019_depth100,0.0,0.0,0.0,6.37970471559465e-05,0.2086341945813965,0.04039834335909888,0.0,0.0,0.02243650965570067,0.7284671553566481
CID4461_mix019_depth25,0.0,0.0,0.0,0.03718196062755984,0.17980413115285457,0.0,0.0,0.0,0.01576545116050135,0.7672484570590843
CID4461_mix020_depth100,0.0,0.134255084402648,0.0,0.0,0.17624406760812006,0.000333267295995778,0.0,0.0,0.02730302704407461,0.6618645536491615
CID4461_mix020_depth25,0.0,0.15247908168042484,0.0,0.0,0.16482923278672712,0.0,0.0,0.0,0.029424651029507937,0.65326703450334
CID4461_mix021_depth100,0.0,0.0,0.0,0.0,0.18368423382393892,0.0040636216407582216,0.0,0.0,0.02565977809858699,0.7865923664367159
CID4461_mix021_depth25,0.0,0.0,0.0,0.0,0.2245340434019302,0.1525166821233617,0.0,0.0,0.02596689071562728,0.5969823837590807
CID4461_mix022_depth100,0.0,0.0,0.0,0.0,0.20477127597614525,0.018975393118774282,0.0,0.0,0.025233133593570066,0.7510201973115104
CID4461_mix022_depth25,0.0,0.0,0.0,0.0,0.2534020098035096,0.14927486946382876,0.0,0.0,0.026010436454489787,0.571312684278172
CID4461_mix023_depth100,0.0,0.0,0.0,0.0,0.19947881216238075,0.05378041496041001,0.0,0.0,0.028349154169021305,0.718391618708188
CID4461_mix023_depth25,0.0,0.0,0.0,0.022059407878495276,0.2350540013451616,0.12344665942975112,0.0,0.0,0.024001167490235637,0.5954387638563563
CID4461_mix024_depth100,0.0,0.0,0.0,0.03214652403170071,0.2245711622128245,0.0,0.0,0.0,0.03165921360680059,0.7116231001486742
CID4461_mix024_depth25,0.0,0.0,0.0,0.2265679260062813,0.27108767333539635,0.0,0.0,0.0,0.010621108615728448,0.4917232920425938
CID4461_mix025_depth100,0.0,0.0,0.0,0.07216091959118662,0.2508064481841874,0.0,0.0,0.0,0.029507772289497143,0.6475248599351289
CID4461_mix025_depth25,0.0,0.0,0.0,0.27372277122716443,0.2593598584066356,0.0,0.0,0.0,0.007202493815017293,0.45971487655118254
CID4461_mix026_depth100,0.0,0.07067517380623498,0.0,0.0,0.21471254878333446,0.0,0.0,0.0,0.027725631087438547,0.686886646322992
CID4461_mix026_depth25,0.0,0.008686497148402007,0.0,0.17990273135666676,0.2216126217118104,0.0,0.0,0.0,0.007642624894107175,0.5821555248890137
CID4461_mix027_depth100,0.0,0.0,0.0,0.007845013731299927,0.27647997073967856,0.02637907024704411,0.0,0.0,0.02317929077852418,0.6661166545034533
CID4461_mix027_depth25,0.0,0.0,0.0,0.07901966790633307,0.2990642578352736,0.17178585768357205,0.0,0.0,0.030351556789440456,0.41977865978538076
CID4461_mix028_depth100,0.0,0.0,0.0,0.04388383095293588,0.2708204928134729,0.0,0.0,0.0,0.030057174482821133,0.65523850175077
CID4461_mix028_depth25,0.0,0.0,0.0,0.17401510875689974,0.25694326957581637,0.007836942540866821,0.0,0.0,0.031769977684461326,0.5294347014419558
CID4461_mix029_depth100,0.0,0.3556361644002885,0.0,0.0,0.17738154813522236,0.06089306540092924,0.0,0.0,0.026317370186824333,0.3797718518767356
CID4461_mix029_depth25,0.0,0.3441302128267586,0.0,0.0,0.19773282397938732,0.040281805111185696,0.0,0.0,0.026615463554595986,0.3912396945280724
CID4461_mix030_depth100,0.0,0.0,0.0,0.0,0.23578776973318658,0.2379141222942114,0.0,0.0,0.028170878161769417,0.4981272298108326
CID4461_mix030_depth25,0.0,0.0,0.0,0.12767048214830223,0.2021551707762881,0.5434616996779682,0.0,0.0,0.03739877094625485,0.08931387645118655
CID4461_mix031_depth100,0.0,0.0,0.0,0.05867370573598116,0.25414144298271724,0.02837245307018301,0.0,0.0,0.028777442738813577,0.6300349554723049
