donor_id,reference_label,flag,n_cells,median,mad,threshold_transformed,applied
CID4067,B-cells,review_low_umi,53,6.891625897052253,0.2231435513142097,5.775908140481205,True
CID4067,B-cells,review_high_umi,53,6.891625897052253,0.2231435513142097,8.007343653623302,True
CID4067,B-cells,review_low_genes,53,6.161207321695077,0.184856412397143,5.236925259709362,True
CID4067,B-cells,review_high_genes,53,6.161207321695077,0.184856412397143,7.085489383680792,True
CID4067,B-cells,review_high_mt,53,4.138244656662119,1.0098143602845115,9.187316458084677,True
CID4067,CAFs,review_low_umi,135,8.288031567776464,0.436759570666581,6.104233714443559,True
CID4067,CAFs,review_high_umi,135,8.288031567776464,0.436759570666581,10.47182942110937,True
CID4067,CAFs,review_low_genes,135,7.383989457978509,0.30396295805591844,5.864174667698917,True
CID4067,CAFs,review_high_genes,135,7.383989457978509,0.30396295805591844,8.903804248258101,True
CID4067,CAFs,review_high_mt,135,2.7719365322118144,1.0466087199274803,8.004980131849216,True
CID4067,Cancer Epithelial,review_low_umi,2352,8.275376245079805,0.41038026632184144,6.223474913470598,True
CID4067,Cancer Epithelial,review_high_umi,2352,8.275376245079805,0.41038026632184144,10.327277576689012,True
CID4067,Cancer Epithelial,review_low_genes,2352,7.403061091090091,0.2752652654167944,6.026734764006119,True
CID4067,Cancer Epithelial,review_high_genes,2352,7.403061091090091,0.2752652654167944,8.779387418174064,True
CID4067,Cancer Epithelial,review_high_mt,2352,10.198232923591295,2.8638545109371827,24.517505478277208,True
CID4067,Cycling T-cells,review_low_umi,6,7.2519306268803385,0.3471823719925968,5.516018766917354,False
CID4067,Cycling T-cells,review_high_umi,6,7.2519306268803385,0.3471823719925968,8.987842486843324,False
CID4067,Cycling T-cells,review_low_genes,6,6.601991036662485,0.3756028060357868,4.723977006483551,False
CID4067,Cycling T-cells,review_high_genes,6,6.601991036662485,0.3756028060357868,8.48000506684142,False
CID4067,Cycling T-cells,review_high_mt,6,2.840571733294624,0.6040054091934041,5.860598779261644,False
CID4067,Endothelial,review_low_umi,186,7.333001654623999,0.47024866535517873,4.981758327848105,True
CID4067,Endothelial,review_high_umi,186,7.333001654623999,0.47024866535517873,9.684244981399893,True
CID4067,Endothelial,review_low_genes,186,6.693320597238527,0.35245560025053635,4.931042595985845,True
CID4067,Endothelial,review_high_genes,186,6.693320597238527,0.35245560025053635,8.455598598491209,True
CID4067,Endothelial,review_high_mt,186,3.708723177188565,1.4820712101077609,11.119079227727369,True
CID4067,Myeloid,review_low_umi,266,8.160346707850945,0.3268999135088544,6.525847140306673,True
CID4067,Myeloid,review_high_umi,266,8.160346707850945,0.3268999135088544,9.794846275395216,True
CID4067,Myeloid,review_low_genes,266,7.147156432533178,0.21519658394719698,6.071173512797193,True
CID4067,Myeloid,review_high_genes,266,7.147156432533178,0.21519658394719698,8.223139352269163,True
CID4067,Myeloid,review_high_mt,266,3.1064126576561772,0.8959266754584772,7.586046034948563,True
CID4067,NK cells,review_low_umi,48,6.929499537076769,0.21440007970599995,5.857499138546769,True
CID4067,NK cells,review_high_umi,48,6.929499537076769,0.21440007970599995,8.001499935606768,True
CID4067,NK cells,review_low_genes,48,6.2942914817463915,0.1522563885704411,5.533009538894186,True
CID4067,NK cells,review_high_genes,48,6.2942914817463915,0.1522563885704411,7.055573424598597,True
CID4067,NK cells,review_high_mt,48,3.354177069994413,1.0289677606303924,8.499015873146375,True
CID4067,NKT cells,review_low_umi,39,7.076653815443951,0.3048480790627561,5.55241342013017,True
CID4067,NKT cells,review_high_umi,39,7.076653815443951,0.3048480790627561,8.600894210757732,True
CID4067,NKT cells,review_low_genes,39,6.395261598115449,0.2683924140012639,5.05329952810913,True
CID4067,NKT cells,review_high_genes,39,6.395261598115449,0.2683924140012639,7.737223668121769,True
CID4067,NKT cells,review_high_mt,39,3.0056864337936635,0.7998040808524869,7.004706838056098,True
CID4067,PVL,review_low_umi,83,7.258412150595307,0.49692666225119453,4.773778839339334,True
CID4067,PVL,review_high_umi,83,7.258412150595307,0.49692666225119453,9.74304546185128,True
CID4067,PVL,review_low_genes,83,6.565264970035361,0.33281695348483886,4.901180202611167,True
CID4067,PVL,review_high_genes,83,6.565264970035361,0.33281695348483886,8.229349737459556,True
CID4067,PVL,review_high_mt,83,4.825684459326374,1.6594575463976144,13.122972191314446,True
CID4067,T cells CD4+,review_low_umi,353,7.0326242610280065,0.22578788956730023,5.903684813191505,True
CID4067,T cells CD4+,review_high_umi,353,7.0326242610280065,0.22578788956730023,8.161563708864508,True
CID4067,T cells CD4+,review_low_genes,353,6.284134161070802,0.18045414261915926,5.381863447975006,True
CID4067,T cells CD4+,review_high_genes,353,6.284134161070802,0.18045414261915926,7.186404874166598,True
CID4067,T cells CD4+,review_high_mt,353,3.074558032282859,0.8523358100606369,7.3362370825860435,True
CID4067,T cells CD8+,review_low_umi,243,6.891625897052253,0.21251819593527355,5.8290349173758855,True
CID4067,T cells CD8+,review_high_umi,243,6.891625897052253,0.21251819593527355,7.954216876728621,True
CID4067,T cells CD8+,review_low_genes,243,6.255750041753367,0.14782415618144817,5.516629260846126,True
CID4067,T cells CD8+,review_high_genes,243,6.255750041753367,0.14782415618144817,6.994870822660608,True
CID4067,T cells CD8+,review_high_mt,243,3.27455919395466,1.0285878837588922,8.417498612749121,True
CID4471,B-cells,review_low_umi,99,7.920446505142607,0.19423385463507792,6.949277231967217,True
CID4471,B-cells,review_high_umi,99,7.920446505142607,0.19423385463507792,8.891615778317997,True
CID4471,B-cells,review_low_genes,99,6.9440872082295275,0.13174211405204872,6.285376637969284,True
CID4471,B-cells,review_high_genes,99,6.9440872082295275,0.13174211405204872,7.602797778489771,True
CID4471,B-cells,review_high_mt,99,9.024012393493416,1.7689391483568038,17.868708135277437,True
CID4471,CAFs,review_low_umi,1292,8.435656002492088,0.4914773261620198,5.978269371681989,True
CID4471,CAFs,review_high_umi,1292,8.435656002492088,0.4914773261620198,10.893042633302187,True
CID4471,CAFs,review_low_genes,1292,7.477886968678687,0.33150864509517497,5.8203437432028124,True
CID4471,CAFs,review_high_genes,1292,7.477886968678687,0.33150864509517497,9.135430194154562,True
CID4471,CAFs,review_high_mt,1292,6.885256345464212,1.965077445475944,16.710643572843935,True
CID4471,Cancer Epithelial,review_low_umi,212,9.284387179802248,0.36828454986786063,7.442964430462945,True
CID4471,Cancer Epithelial,review_high_umi,212,9.284387179802248,0.36828454986786063,11.125809929141552,True
CID4471,Cancer Epithelial,review_low_genes,212,8.0041978668507,0.23968525584586642,6.805771587621367,True
CID4471,Cancer Epithelial,review_high_genes,212,8.0041978668507,0.23968525584586642,9.202624146080032,True
CID4471,Cancer Epithelial,review_high_mt,212,11.976826025998452,2.42269863261898,24.09031918909335,True
CID4471,Cycling T-cells,review_low_umi,8,7.34433894956817,1.0470922900536301,2.1088774993000197,False
CID4471,Cycling T-cells,review_high_umi,8,7.34433894956817,1.0470922900536301,12.579800399836321,False
CID4471,Cycling T-cells,review_low_genes,8,6.800606383647033,0.7874774116733336,2.8632193252803653,False
CID4471,Cycling T-cells,review_high_genes,8,6.800606383647033,0.7874774116733336,10.737993442013702,False
CID4471,Cycling T-cells,review_high_mt,8,6.237593410759951,1.3301637882391577,12.88841235195574,False
CID4471,Endothelial,review_low_umi,2778,8.71874456471367,0.38499358662471206,6.79377663159011,True
CID4471,Endothelial,review_high_umi,2778,8.71874456471367,0.38499358662471206,10.643712497837232,True
CID4471,Endothelial,review_low_genes,2778,7.66949514203163,0.25552485184118634,6.391870882825699,True
CID4471,Endothelial,review_high_genes,2778,7.66949514203163,0.25552485184118634,8.947119401237561,True
CID4471,Endothelial,review_high_mt,2778,7.184958249103104,1.6486404149062217,15.428160323634213,True
CID4471,Myeloid,review_low_umi,285,8.65259782842244,0.4883721761566129,6.210736947639376,True
CID4471,Myeloid,review_high_umi,285,8.65259782842244,0.4883721761566129,11.094458709205504,True
CID4471,Myeloid,review_low_genes,285,7.515889085215125,0.32363649648955306,5.89770660276736,True
