donor_id,reference_label,EPCAM,KRT8,KRT18,KRT19,CD3D,CD3E,TRAC,COL1A1,COL1A2,DCN,LUM,RGS5,CSPG4,MCAM,CD8A,CD8B,NKG7,GNLY,PECAM1,VWF
CID4067,B-cells,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.07547169811320754,0.0,0.03773584905660377,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4067,CAFs,0.0,0.007407407407407408,0.014814814814814815,0.0,0.0,0.0,0.05925925925925926,0.9629629629629629,0.9703703703703703,0.9925925925925926,0.9851851851851852,0.014814814814814815,0.044444444444444446,0.007407407407407408,0.0,0.007407407407407408,0.0,0.0,0.0,0.0
CID4067,Cancer Epithelial,0.45535714285714285,0.8881802721088435,0.8499149659863946,0.8214285714285714,0.0055272108843537416,0.00510204081632653,0.007653061224489796,0.015306122448979591,0.0055272108843537416,0.002976190476190476,0.0021258503401360546,0.01445578231292517,0.0012755102040816326,0.0,0.0021258503401360546,0.003401360544217687,0.006377551020408163,0.0012755102040816326,0.00510204081632653,0.00467687074829932
CID4067,Cycling T-cells,0.0,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0
CID4067,Endothelial,0.010752688172043012,0.04838709677419355,0.08064516129032258,0.0,0.005376344086021506,0.0,0.005376344086021506,0.010752688172043012,0.016129032258064516,0.0,0.0,0.021505376344086023,0.0,0.1827956989247312,0.0,0.0,0.0,0.0,0.6021505376344086,0.6505376344086021
CID4067,Myeloid,0.0037593984962406013,0.015037593984962405,0.03007518796992481,0.0,0.0,0.0,0.0037593984962406013,0.03007518796992481,0.022556390977443608,0.011278195488721804,0.011278195488721804,0.007518796992481203,0.0,0.0037593984962406013,0.007518796992481203,0.0,0.015037593984962405,0.0,0.12406015037593984,0.007518796992481203
CID4067,NK cells,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.625,0.5833333333333334,0.020833333333333332,0.0
CID4067,NKT cells,0.0,0.0,0.0,0.0,0.3333333333333333,0.28205128205128205,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.05128205128205128,0.9743589743589743,0.9743589743589743,0.0,0.0
CID4067,PVL,0.012048192771084338,0.04819277108433735,0.060240963855421686,0.024096385542168676,0.0,0.0,0.0,0.40963855421686746,0.39759036144578314,0.2289156626506024,0.10843373493975904,0.6024096385542169,0.20481927710843373,0.40963855421686746,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
CID4067,T cells CD4+,0.0,0.0084985835694051,0.0084985835694051,0.0084985835694051,0.40226628895184136,0.5609065155807366,0.17847025495750707,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0,0.0,0.0,0.031161473087818695,0.028328611898016998,0.0453257790368272,0.0226628895184136,0.0028328611898017,0.0
CID4067,T cells CD8+,0.00411522633744856,0.0,0.01646090534979424,0.00411522633744856,0.4403292181069959,0.5555555555555556,0.20164609053497942,0.00411522633744856,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.37448559670781895,0.3004115226337449,0.588477366255144,0.20987654320987653,0.012345679012345678,0.0
CID4471,B-cells,0.010101010101010102,0.050505050505050504,0.10101010101010101,0.06060606060606061,0.0,0.010101010101010102,0.1414141414141414,0.23232323232323232,0.13131313131313133,0.1717171717171717,0.050505050505050504,0.0707070707070707,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.12121212121212122,0.06060606060606061
CID4471,CAFs,0.018575851393188854,0.07043343653250773,0.0998452012383901,0.10061919504643962,0.0023219814241486067,0.007739938080495356,0.07972136222910217,0.913312693498452,0.9342105263157895,1.0,0.9404024767801857,0.0696594427244582,0.025541795665634675,0.025541795665634675,0.0030959752321981426,0.027089783281733747,0.00696594427244582,0.005417956656346749,0.07894736842105263,0.06656346749226007
CID4471,Cancer Epithelial,0.7122641509433962,0.9575471698113207,1.0,1.0,0.009433962264150943,0.018867924528301886,0.009433962264150943,0.3915094339622642,0.14622641509433962,0.20754716981132076,0.09905660377358491,0.09433962264150944,0.018867924528301886,0.05660377358490566,0.014150943396226415,0.0047169811320754715,0.009433962264150943,0.0,0.06132075471698113,0.06132075471698113
CID4471,Cycling T-cells,0.125,0.125,0.0,0.0,0.375,0.375,0.375,0.375,0.25,0.5,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.25,0.0
CID4471,Endothelial,0.05399568034557235,0.15910727141828654,0.2789776817854572,0.11159107271418287,0.0025197984161267097,0.006839452843772498,0.004679625629949604,0.3020158387329014,0.17926565874730022,0.2156227501799856,0.10835133189344852,0.18178545716342692,0.00827933765298776,0.3898488120950324,0.0021598272138228943,0.0007199424046076314,0.004679625629949604,0.054715622750179986,0.9607631389488841,0.9323254139668826
CID4471,Myeloid,0.017543859649122806,0.09824561403508772,0.11578947368421053,0.12631578947368421,0.0,0.014035087719298246,0.0,0.3017543859649123,0.15789473684210525,0.21403508771929824,0.11228070175438597,0.07017543859649122,0.0035087719298245615,0.042105263157894736,0.0,0.0,0.031578947368421054,0.007017543859649123,0.3824561403508772,0.08771929824561403
CID4471,NK cells,0.0,0.1,0.2,0.06666666666666667,0.03333333333333333,0.36666666666666664,0.13333333333333333,0.36666666666666664,0.13333333333333333,0.2,0.1,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.7333333333333333,0.8333333333333334,0.0,0.03333333333333333
CID4471,NKT cells,0.0,0.15625,0.09375,0.125,0.21875,0.25,0.09375,0.125,0.0625,0.125,0.09375,0.09375,0.0,0.09375,0.1875,0.125,1.0,0.96875,0.09375,0.0625
CID4471,Normal Epithelial,0.5742624618514751,0.9476093591047813,0.762970498474059,0.5752797558494405,0.003051881993896236,0.007121057985757884,0.006103763987792472,0.28891149542217703,0.13987792472024416,0.16480162767039674,0.07426246185147507,0.06307222787385554,0.0076297049847405905,0.1266531027466938,0.004577822990844354,0.007121057985757884,0.004577822990844354,0.00254323499491353,0.04984740590030519,0.05340793489318413
CID4471,PVL,0.02178988326848249,0.09883268482490272,0.14085603112840467,0.08949416342412451,0.0038910505836575876,0.008560311284046693,0.0015564202334630351,0.5385214007782101,0.4163424124513619,0.36186770428015563,0.1245136186770428,0.5315175097276265,0.1735408560311284,0.6832684824902724,0.0023346303501945525,0.0023346303501945525,0.0038910505836575876,0.0038910505836575876,0.042801556420233464,0.053696498054474705
CID4471,Plasmablasts,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.09803921568627451,0.0,0.0,0.0196078431372549,0.17647058823529413,0.27450980392156865,0.17647058823529413,0.058823529411764705,0.09803921568627451,0.0,0.058823529411764705,0.0,0.0,0.0,0.0196078431372549,0.4117647058823529,0.0392156862745098
CID4471,T cells CD4+,0.012135922330097087,0.06796116504854369,0.14563106796116504,0.07524271844660194,0.7014563106796117,0.9077669902912622,0.3300970873786408,0.23300970873786409,0.11165048543689321,0.14563106796116504,0.055825242718446605,0.0703883495145631,0.0,0.03640776699029126,0.08495145631067962,0.04611650485436893,0.0412621359223301,0.01699029126213592,0.06067961165048544,0.043689320388349516
CID4471,T cells CD8+,0.018867924528301886,0.0880503144654088,0.0880503144654088,0.06289308176100629,0.6981132075471698,0.8930817610062893,0.3018867924528302,0.23270440251572327,0.08176100628930817,0.22641509433962265,0.10062893081761007,0.06918238993710692,0.006289308176100629,0.0,0.8113207547169812,0.6540880503144654,0.779874213836478,0.1761006289308176,0.08176100628930817,0.06918238993710692
CID4535,B-cells,0.10714285714285714,0.10714285714285714,0.16071428571428573,0.4107142857142857,0.0,0.0,0.05357142857142857,0.017857142857142856,0.0,0.0,0.017857142857142856,0.08928571428571429,0.0,0.017857142857142856,0.0,0.0,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.0
CID4535,CAFs,0.12745098039215685,0.28431372549019607,0.5196078431372549,0.696078431372549,0.0196078431372549,0.0,0.0784313725490196,0.6666666666666666,0.7058823529411765,0.46078431372549017,0.5,0.4117647058823529,0.0784313725490196,0.17647058823529413,0.00980392156862745,0.0,0.029411764705882353,0.00980392156862745,0.0196078431372549,0.00980392156862745
CID4535,Cancer Epithelial,0.8609986504723347,0.9095816464237517,0.9608636977058029,0.9910031488978858,0.021592442645074223,0.005847953216374269,0.029689608636977057,0.0935672514619883,0.05218173639226271,0.024741340530814216,0.049032838506522715,0.16869095816464239,0.009896536212325686,0.02249212775528565,0.022941970310391364,0.004048582995951417,0.029689608636977057,0.027440395861448492,0.03148897885739991,0.024291497975708502
CID4535,Cycling T-cells,0.10526315789473684,0.10526315789473684,0.42105263157894735,0.631578947368421,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.0
