donor_id,subtype,total_cells,reference_label,n_cells
CID44041,TNBC,2131,Cycling T-cells,5
CID4465,TNBC,1564,Cycling T-cells,10
CID4495,TNBC,7985,Cycling T-cells,430
CID44971,TNBC,7986,Cycling T-cells,271
CID44991,TNBC,7023,Cycling T-cells,149
CID4513,TNBC,5619,Cycling T-cells,181
CID4515,TNBC,4149,Cycling T-cells,20
CID4523,TNBC,1754,Cycling T-cells,14
CID3941,ER+,631,PVL,25
CID3948,ER+,2327,PVL,62
CID4040,ER+,2531,PVL,443
CID4067,ER+,3764,PVL,83
CID4290A,ER+,5789,PVL,140
CID4398,ER+,4451,PVL,87
CID4461,ER+,631,PVL,48
CID4463,ER+,1138,PVL,31
CID4471,ER+,8609,PVL,1285
CID4530N,ER+,4409,PVL,469
CID4535,ER+,3961,PVL,592
CID3586,HER2+,6178,PVL,21
CID3838,HER2+,2353,PVL,158
CID3921,HER2+,3024,PVL,72
CID4066,HER2+,5309,PVL,630
CID45171,HER2+,2447,PVL,13
CID3946,TNBC,774,PVL,248
CID3963,TNBC,3527,PVL,28
CID44041,TNBC,2131,PVL,128
CID4465,TNBC,1564,PVL,317
CID4495,TNBC,7985,PVL,191
CID44971,TNBC,7986,PVL,91
CID44991,TNBC,7023,PVL,46
CID4513,TNBC,5619,PVL,82
CID4515,TNBC,4149,PVL,123
CID4523,TNBC,1754,PVL,10
CID3941,ER+,631,Cancer Epithelial,196
CID3948,ER+,2327,Cancer Epithelial,261
CID4040,ER+,2531,Cancer Epithelial,0
CID4067,ER+,3764,Cancer Epithelial,2352
CID4290A,ER+,5789,Cancer Epithelial,4053
CID4398,ER+,4451,Cancer Epithelial,0
CID4461,ER+,631,Cancer Epithelial,207
CID4463,ER+,1138,Cancer Epithelial,659
CID4471,ER+,8609,Cancer Epithelial,212
CID4530N,ER+,4409,Cancer Epithelial,1715
CID4535,ER+,3961,Cancer Epithelial,2223
CID3586,HER2+,6178,Cancer Epithelial,0
CID3838,HER2+,2353,Cancer Epithelial,0
CID3921,HER2+,3024,Cancer Epithelial,441
CID4066,HER2+,5309,Cancer Epithelial,521
CID45171,HER2+,2447,Cancer Epithelial,813
CID3946,TNBC,774,Cancer Epithelial,0
CID3963,TNBC,3527,Cancer Epithelial,222
CID44041,TNBC,2131,Cancer Epithelial,0
CID4465,TNBC,1564,Cancer Epithelial,124
CID4495,TNBC,7985,Cancer Epithelial,1184
CID44971,TNBC,7986,Cancer Epithelial,894
CID44991,TNBC,7023,Cancer Epithelial,4018
CID4513,TNBC,5619,Cancer Epithelial,1058
CID4515,TNBC,4149,Cancer Epithelial,2169
CID4523,TNBC,1754,Cancer Epithelial,1167
CID3941,ER+,631,Normal Epithelial,0
CID3948,ER+,2327,Normal Epithelial,0
CID4040,ER+,2531,Normal Epithelial,0
CID4067,ER+,3764,Normal Epithelial,0
CID4290A,ER+,5789,Normal Epithelial,18
CID4398,ER+,4451,Normal Epithelial,0
CID4461,ER+,631,Normal Epithelial,0
CID4463,ER+,1138,Normal Epithelial,26
CID4471,ER+,8609,Normal Epithelial,1966
CID4530N,ER+,4409,Normal Epithelial,398
CID4535,ER+,3961,Normal Epithelial,22
CID3586,HER2+,6178,Normal Epithelial,698
CID3838,HER2+,2353,Normal Epithelial,0
CID3921,HER2+,3024,Normal Epithelial,0
CID4066,HER2+,5309,Normal Epithelial,270
CID45171,HER2+,2447,Normal Epithelial,0
CID3946,TNBC,774,Normal Epithelial,0
CID3963,TNBC,3527,Normal Epithelial,1
CID44041,TNBC,2131,Normal Epithelial,151
CID4465,TNBC,1564,Normal Epithelial,10
CID4495,TNBC,7985,Normal Epithelial,0
CID44971,TNBC,7986,Normal Epithelial,735
CID44991,TNBC,7023,Normal Epithelial,24
CID4513,TNBC,5619,Normal Epithelial,0
CID4515,TNBC,4149,Normal Epithelial,36
CID4523,TNBC,1754,Normal Epithelial,0
CID3941,ER+,631,Endothelial,44
CID3948,ER+,2327,Endothelial,85
CID4040,ER+,2531,Endothelial,218
CID4067,ER+,3764,Endothelial,186
CID4290A,ER+,5789,Endothelial,298
CID4398,ER+,4451,Endothelial,101
CID4461,ER+,631,Endothelial,182
CID4463,ER+,1138,Endothelial,79
CID4471,ER+,8609,Endothelial,2778
CID4530N,ER+,4409,Endothelial,1016
CID4535,ER+,3961,Endothelial,219
CID3586,HER2+,6178,Endothelial,157
CID3838,HER2+,2353,Endothelial,99
CID3921,HER2+,3024,Endothelial,210
CID4066,HER2+,5309,Endothelial,535
CID45171,HER2+,2447,Endothelial,15
CID3946,TNBC,774,Endothelial,110
CID3963,TNBC,3527,Endothelial,102
CID44041,TNBC,2131,Endothelial,148
CID4465,TNBC,1564,Endothelial,294
CID4495,TNBC,7985,Endothelial,184
CID44971,TNBC,7986,Endothelial,217
CID44991,TNBC,7023,Endothelial,41
CID4513,TNBC,5619,Endothelial,162
CID4515,TNBC,4149,Endothelial,122
CID4523,TNBC,1754,Endothelial,3
CID3941,ER+,631,Myeloid,37
CID3948,ER+,2327,Myeloid,122
CID4040,ER+,2531,Myeloid,50
CID4067,ER+,3764,Myeloid,266
CID4290A,ER+,5789,Myeloid,341
CID4398,ER+,4451,Myeloid,225
CID4461,ER+,631,Myeloid,53
CID4463,ER+,1138,Myeloid,101
CID4471,ER+,8609,Myeloid,285
CID4530N,ER+,4409,Myeloid,96
CID4535,ER+,3961,Myeloid,255
CID3586,HER2+,6178,Myeloid,200
CID3838,HER2+,2353,Myeloid,444
CID3921,HER2+,3024,Myeloid,385
CID4066,HER2+,5309,Myeloid,221
CID45171,HER2+,2447,Myeloid,172
CID3946,TNBC,774,Myeloid,157
CID3963,TNBC,3527,Myeloid,479
CID44041,TNBC,2131,Myeloid,105
CID4465,TNBC,1564,Myeloid,181
CID4495,TNBC,7985,Myeloid,897
CID44971,TNBC,7986,Myeloid,684
CID44991,TNBC,7023,Myeloid,206
CID4513,TNBC,5619,Myeloid,2795
CID4515,TNBC,4149,Myeloid,563
CID4523,TNBC,1754,Myeloid,355
CID3941,ER+,631,B-cells,55
CID3948,ER+,2327,B-cells,85
CID4040,ER+,2531,B-cells,105
CID4067,ER+,3764,B-cells,53
CID4290A,ER+,5789,B-cells,117
CID4398,ER+,4451,B-cells,36
CID4461,ER+,631,B-cells,0
CID4463,ER+,1138,B-cells,0
CID4471,ER+,8609,B-cells,99
CID4530N,ER+,4409,B-cells,0
CID4535,ER+,3961,B-cells,56
CID3586,HER2+,6178,B-cells,321
CID3838,HER2+,2353,B-cells,47
CID3921,HER2+,3024,B-cells,162
CID4066,HER2+,5309,B-cells,38
CID45171,HER2+,2447,B-cells,56
CID3946,TNBC,774,B-cells,0
CID3963,TNBC,3527,B-cells,0
CID44041,TNBC,2131,B-cells,176
CID4465,TNBC,1564,B-cells,33
CID4495,TNBC,7985,B-cells,773
CID44971,TNBC,7986,B-cells,369
CID44991,TNBC,7023,B-cells,88
CID4513,TNBC,5619,B-cells,43
CID4515,TNBC,4149,B-cells,494
CID4523,TNBC,1754,B-cells,0
CID3941,ER+,631,Plasmablasts,0
CID3948,ER+,2327,Plasmablasts,232
CID4040,ER+,2531,Plasmablasts,74
CID4067,ER+,3764,Plasmablasts,0
CID4290A,ER+,5789,Plasmablasts,0
CID4398,ER+,4451,Plasmablasts,91
CID4461,ER+,631,Plasmablasts,32
CID4463,ER+,1138,Plasmablasts,0
CID4471,ER+,8609,Plasmablasts,51
CID4530N,ER+,4409,Plasmablasts,55
CID4535,ER+,3961,Plasmablasts,96
CID3586,HER2+,6178,Plasmablasts,0
CID3838,HER2+,2353,Plasmablasts,51
CID3921,HER2+,3024,Plasmablasts,175
CID4066,HER2+,5309,Plasmablasts,0
CID45171,HER2+,2447,Plasmablasts,0
CID3946,TNBC,774,Plasmablasts,0
CID3963,TNBC,3527,Plasmablasts,0
CID44041,TNBC,2131,Plasmablasts,0
CID4465,TNBC,1564,Plasmablasts,110
CID4495,TNBC,7985,Plasmablasts,1020
CID44971,TNBC,7986,Plasmablasts,48
CID44991,TNBC,7023,Plasmablasts,1453
CID4513,TNBC,5619,Plasmablasts,0
CID4515,TNBC,4149,Plasmablasts,36
CID4523,TNBC,1754,Plasmablasts,0
