run,pathology,CAFs,T cells CD8+,PVL,Cancer Epithelial
baseline,Adipose tissue,0.03923302447766907,0.028457748196913362,0.00013330698466297326,0.7016535106000219
baseline,Invasive cancer,0.02752093197953761,0.00012849839785328238,0.00013361652550447428,0.8590040130656993
baseline,Invasive cancer + adipose tissue + lymphocytes,0.017256432700674954,9.40738250734354e-05,0.004985889416893932,0.8789143478738098
baseline,Invasive cancer + lymphocytes,0.02237135781470677,0.00013120681411164255,0.002038505088553656,0.8574877310002981
baseline,Lymphocytes,0.06830999304792486,0.021509867867872123,0.00041333346331751504,0.4044300918475721
baseline,Missing,0.004487888232906308,0.0027942887889282043,0.006364085338347778,0.8823898785460595
baseline,Stroma,0.14211286915855995,0.01056506952377567,0.00020563224778540615,0.5003059355075978
baseline,Uncertain,0.04372336280115606,0.00019249081624493153,0.004701397500154438,0.7875245209361772
1001,Adipose tissue,0.037326999722341846,0.015584147134155055,0.00013637625060608434,0.6515299540295274
1001,Invasive cancer,0.025419869424123564,0.002100098132970239,0.00013529534712396543,0.8530339995266468
1001,Invasive cancer + adipose tissue + lymphocytes,0.01420245931181276,9.489194074387275e-05,0.00610200479540579,0.8715075718225637
1001,Invasive cancer + lymphocytes,0.021038522404493866,0.0034341761469456325,0.0021742641155398225,0.8528377224423824
1001,Lymphocytes,0.06224841850266812,0.03324706745218174,0.00031363718553776936,0.4230413041745344
1001,Missing,0.0056625891286016024,0.007350389519203089,0.006295336891339196,0.8743753956678113
1001,Stroma,0.13252959961448962,0.016225284360544396,0.00021099600266004728,0.4971613208226322
1001,Uncertain,0.040813347365994276,0.005929671393848855,0.003030077193734967,0.791132454587098
1002,Adipose tissue,0.03723876588736651,0.02686684695131968,0.00013665565541383197,0.7117621189156904
1002,Invasive cancer,0.027247253484842734,0.0016090371617225267,0.00018104115074467212,0.8639641006135385
1002,Invasive cancer + adipose tissue + lymphocytes,0.022239155905926043,0.002270637596604798,0.005407196125925114,0.8974155525439267
1002,Invasive cancer + lymphocytes,0.02341830650491115,0.0012779947871260108,0.0024110347465252043,0.8634510108542285
1002,Lymphocytes,0.07321980749498518,0.032639209361892144,0.001466828906180243,0.42809874382346513
1002,Missing,0.006416862827533448,0.007800800722911691,0.006067424048779808,0.8852206266499888
1002,Stroma,0.13640448441002756,0.01289929507723209,0.00021364767857129128,0.5293311783805209
1002,Uncertain,0.04526308721698476,0.002990373014590107,0.001396894514838986,0.8003293433283449
1003,Adipose tissue,0.03562360879084393,0.02461463037375975,0.00014154358475062826,0.6789960893228044
1003,Invasive cancer,0.026617958739483305,0.000137589865244751,0.0001337266755781236,0.8587332004761119
1003,Invasive cancer + adipose tissue + lymphocytes,0.012021822620414489,0.0096728922042475,0.005178349666107996,0.8825763850385372
1003,Invasive cancer + lymphocytes,0.022917536978988812,0.00013321385661414198,0.0019728378687503146,0.8570549515135372
1003,Lymphocytes,0.06603954292356458,0.04780501407636822,0.0014613406419996746,0.44165113224523905
1003,Missing,0.006068310616541068,0.009858304498799372,0.0046534842713166396,0.8924793692202517
1003,Stroma,0.1401592829277652,0.01630028240100791,0.00022214205558630635,0.5019700238356339
1003,Uncertain,0.04079763345388065,0.0020418539920540038,0.002531944173956363,0.7925316185207225
1004,Adipose tissue,0.03893426351208971,0.022203669550355465,0.00014317510963323136,0.719361069157419
1004,Invasive cancer,0.025265624729089796,0.0014997129894248247,0.00013799214314951013,0.8625121708702956
1004,Invasive cancer + adipose tissue + lymphocytes,0.012052468111291825,9.222766142374121e-05,0.006518972650970069,0.8764644430656325
1004,Invasive cancer + lymphocytes,0.020031183856895028,0.0016077953939176404,0.002747740855293777,0.8563467137693692
1004,Lymphocytes,0.0722466027504817,0.03129456019456467,0.0003901592005569036,0.4186517135883368
1004,Missing,0.006135551390619234,0.0010458931496781694,0.005623485566289437,0.8796917739133857
1004,Stroma,0.13134703096449185,0.011448504459339896,0.00020090447808255202,0.5002209482649348
1004,Uncertain,0.04095574285549099,0.002586778102391503,0.0035303997456386585,0.7995095549718098
1005,Adipose tissue,0.03564178099306042,0.015473554424177634,0.00018731519207630171,0.6973205129640044
1005,Invasive cancer,0.02630737890707041,0.00013548960141548602,0.00013757154752953597,0.863176332134262
1005,Invasive cancer + adipose tissue + lymphocytes,0.008954161517233118,9.154308054582728e-05,0.0038816825259509113,0.9002953148551371
