seed,cell_type,spearman,pearson,mae_pp,bias_pp,p95_abs_error_pp,raw_weight_mae
1001,B-cells,0.809838053965985,0.9290824761847574,0.9606582058233335,0.6279367098690746,3.128564515568994,0.009240150202479676
1001,CAFs,0.996317027024697,0.9984708668773051,0.49105406733075363,-0.44931130696801286,1.8642161642716397,0.005248441321789417
1001,Cancer Epithelial,0.9955839563766564,0.9982613524982646,1.2049399178912212,0.21624404419360058,3.6299750068745937,0.01416555242673368
1001,Cycling T-cells,0.6781967000065382,0.7113508337222031,1.556747823244975,-1.3056771900831303,4.030785403411873,0.014927370158783027
1001,Endothelial,0.9845737291336776,0.9932330514434191,0.19772856265736138,0.014595028049811252,0.5795776726505721,0.0018030934039781827
1001,Myeloid,0.9965322209293662,0.9977334383525258,0.2780495216930639,0.17091801767748066,0.980648704682689,0.002287395435345688
1001,NK cells,0.7762853976723327,0.8085720045787365,0.2198222986764232,0.12053989083285442,1.2759353393469326,0.002072060366534663
1001,NKT cells,0.82416706815826,0.9002086005632535,0.17916360605553214,0.1355044738249679,0.6909409816572162,0.001697599157967182
1001,Normal Epithelial,0.9092238600391183,0.9487899507573719,0.43851746441854267,0.22739006375245252,1.4907029438182415,0.004257155224163553
1001,Plasmablasts,0.9991178923966905,0.9992156269297485,0.5534132394914925,-0.5522044055366112,2.443124194801947,0.005553869906121243
1001,PVL,0.9536236915334767,0.9894220757252474,0.13622593742730954,0.04274807574742063,0.6352694289613884,0.0012656413723752143
1001,T cells CD4+,0.8750588170743806,0.9090616457506296,1.237905992559629,0.44636733617703067,4.671139469033084,0.011808047257129682
1001,T cells CD8+,0.8689439709505535,0.9490911361104324,0.5277276819931506,0.3049492624630617,2.0842912632031987,0.004983521933736897
1002,B-cells,0.7856260451714147,0.9185738216826003,0.9472159840189481,0.2064746985481578,2.8917199715481594,0.009227562712720704
1002,CAFs,0.9970137552878205,0.9986722927521193,0.3162319206627881,-0.12508593783403613,1.1575316113126908,0.0033549729944239238
1002,Cancer Epithelial,0.9944187583627332,0.9974772608366983,1.89275570790926,1.5998227080866818,6.00660156914069,0.021278052304417268
1002,Cycling T-cells,0.6365473674454664,0.6505908068511143,1.835614874477411,-1.6553526571517023,4.224157493550936,0.017681309995269477
1002,Endothelial,0.984283823965468,0.9938296736668477,0.20248816599620634,0.026029079861833997,0.5868308282745189,0.0019261506781192244
1002,Myeloid,0.9946578487529204,0.9969721194943985,0.621979057474202,-0.5892339231604644,1.635747011174783,0.006181575155094444
1002,NK cells,0.7069816622181021,0.7530185971782789,0.2898233892270347,0.1949912013245894,1.5421572126339511,0.0026927385168200218
1002,NKT cells,0.6721949071245158,0.7017168125409532,0.8529540459808279,0.8459280221080872,2.7951227458722347,0.008035879924617543
1002,Normal Epithelial,0.8414602418680318,0.9357535538159212,0.5256320031652274,0.16387953976859673,2.1047664284962084,0.0050570899257848904
1002,Plasmablasts,0.9980763553327773,0.9986435103350495,0.17941202959481356,0.14841758959716808,0.8141333541115302,0.0015556563578953719
1002,PVL,0.9405063143414274,0.9923168602908746,0.13474415604013595,-0.05991143299206099,0.6554523999202874,0.0013197453159697011
1002,T cells CD4+,0.8141497062630999,0.8767054937590053,1.3817887144147536,-0.7991762869359548,5.977167676902248,0.013289588294691065
1002,T cells CD8+,0.8271259552054058,0.9230416779419972,0.5563998094696372,0.043217398779105624,2.480683226867593,0.005330215007061435
1003,B-cells,0.8899934121469316,0.9702653377897313,0.48778571266119347,0.08143413998237777,1.8978653445301172,0.0047187119220667515
1003,CAFs,0.9965674155656356,0.9979858304877129,0.2910043870793913,-0.05544216055219834,0.9769248969592642,0.0026703672165017045
1003,Cancer Epithelial,0.9961835205433178,0.9980391194303885,1.2207937976239596,0.646461306788989,4.269654565206743,0.015579564313184103
1003,Cycling T-cells,0.7672908681248417,0.7608418768100337,1.2780651989880816,-0.990587291268161,3.3204594977180384,0.012272884978380295
1003,Endothelial,0.9906694491023039,0.9955585740405398,0.22092014695715637,0.14511161275459628,0.7648618130636139,0.00206105929665219
1003,Myeloid,0.9973234591202038,0.9983799396518567,0.20042357705933847,0.07064122631744729,0.6749582156480285,0.001698508284219499
1003,NK cells,0.7434185749964366,0.7844719673302156,0.20853963120403596,0.07806637130547944,1.1284157805336519,0.0019900654317161386
1003,NKT cells,0.7332862051000562,0.8227576528411946,0.4219824391450927,0.40444580482792,1.3757538902065807,0.004011278159404095
1003,Normal Epithelial,0.9082063180953726,0.9607795329585339,0.35601978120127364,0.04376063315947767,1.5477224657375352,0.00341202829198045
1003,Plasmablasts,0.9993004202988298,0.9995811417117995,0.22317231747887734,-0.22245644043537188,0.8845807761638531,0.0023277856889951506
1003,PVL,0.9513209311410398,0.9905236247996845,0.1427744859990124,-0.0626361658049233,0.5846940435788326,0.0013973004619430127
1003,T cells CD4+,0.8200972949218744,0.8388502508711121,1.5171095518326052,-0.48673718891894074,6.516327711525488,0.014439241886607394
1003,T cells CD8+,0.8607175632187914,0.9276912425707373,0.6182204643299487,0.3479381518433095,2.991416962209905,0.005798362324298424
1004,B-cells,0.8233953954951523,0.9611319388992914,0.5728302256428346,-0.06581555581552896,2.121868867165862,0.005512948424355897
1004,CAFs,0.9948279397224469,0.9980210260201691,0.5571180881222165,-0.5067511007197498,2.1525606805770434,0.0055056046848181
1004,Cancer Epithelial,0.9970796253000584,0.9984968089454981,1.0262804917118225,0.5037687255418234,3.0011675187187614,0.014263047214674026
