"reference_label","n_unique_source_cells"
"B-cells",39
"CAFs",65
"Cancer Epithelial",1413
"Cycling T-cells",13
"Endothelial",131
"Myeloid",168
"NK cells",16
"NKT cells",11
"Normal Epithelial",16
"Plasmablasts",59
"PVL",376
"T cells CD4+",153
"T cells CD8+",63
