"reference_label","n_unique_source_cells"
"B-cells",30
"CAFs",66
"Cancer Epithelial",1419
"Cycling T-cells",12
"Endothelial",142
"Myeloid",163
"NK cells",14
"NKT cells",11
"Normal Epithelial",13
"Plasmablasts",64
"PVL",379
"T cells CD4+",148
"T cells CD8+",66
