spot_id,B-cells,CAFs,Cancer LumA,Cancer LumB,Cancer Other,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
mix_0014_depth25,0.0,0.0,0.0,0.03795506079872957,0.6366843178959688,0.0,0.0,0.013829353370401953,0.0,0.06962023698249394,0.24191103095240565,0.0,0.0,0.0,0.0
mix_0015_depth100,0.0,0.0,0.0,0.004679455050237476,0.5020754507390651,0.0,0.0,0.0,0.0,0.0,0.49324509421069734,0.0,0.0,0.0,0.0
mix_0015_depth25,0.0,0.0,0.0,0.008331749593703922,0.4711708590959847,0.0,0.0,0.0,0.0,0.0,0.5204973913103114,0.0,0.0,0.0,0.0
mix_0016_depth100,0.0,0.0,0.8137016570843013,0.033480631783677745,0.0,0.0,0.0,0.0,0.0,0.0,0.15281771113202097,0.0,0.0,0.0,0.0
mix_0016_depth25,0.0,0.0,0.8287793334709812,0.04784852789824256,0.0,0.0,0.0,0.0,0.0,0.0,0.12337213863077627,0.0,0.0,0.0,0.0
mix_0017_depth100,0.0,0.0,0.0,0.0,0.670259414872595,0.0,0.0,0.0,0.0,0.0,0.329740585127405,0.0,0.0,0.0,0.0
mix_0017_depth25,0.0,0.0,0.07617625663588487,0.0,0.5685336823820726,0.0,0.0,0.0,0.0,0.0,0.3552900609820426,0.0,0.0,0.0,0.0
mix_0018_depth100,0.0,0.0,0.0,0.0,0.6945495360263719,0.0,0.0,0.0,0.0,0.01043553175949508,0.2950149322141329,0.0,0.0,0.0,0.0
mix_0018_depth25,0.0,0.0,0.0,0.0,0.6621693023010295,0.0,0.0,0.0,0.0,0.0045818970579389485,0.33324880064103146,0.0,0.0,0.0,0.0
mix_0019_depth100,0.0,0.0,0.19670638333318335,0.0,0.1829487448014498,0.19856504035858022,0.0,0.0,0.0,0.0,0.38258859686061614,0.0391912346461705,0.0,0.0,0.0
mix_0019_depth25,0.0,0.0,0.17747576634137915,0.0,0.18377831354080318,0.20087579032858005,0.0,0.003999202288940808,0.0,0.0,0.3958358026327582,0.038035124867538614,0.0,0.0,0.0
mix_0020_depth100,0.0,0.0,0.04903295746777721,0.0,0.2929123742979042,0.0,0.0,0.005107761388685852,0.0,0.0,0.6529469068456327,0.0,0.0,0.0,0.0
mix_0020_depth25,0.0,0.0,0.037983008548730816,0.0,0.26434844934818796,0.0,0.0,0.001210097798147837,0.0,0.0,0.6964584443049334,0.0,0.0,0.0,0.0
mix_0021_depth100,0.0,0.0,0.0,0.0,0.15805756813501137,0.0,0.0,0.0,0.0,0.0,0.8419424318649886,0.0,0.0,0.0,0.0
mix_0021_depth25,0.0,0.0,0.0,0.03288526169186816,0.1609145330110149,0.0,0.0,0.0,0.0,0.0,0.806200205297117,0.0,0.0,0.0,0.0
mix_0022_depth100,0.0,0.0,0.0,0.04055692732634832,0.4945616569661603,0.0,0.0024529625860570886,0.0,0.0,0.07736604765537652,0.38506240546605786,0.0,0.0,0.0,0.0
mix_0022_depth25,0.0,0.0,0.0,0.07205816633900816,0.44762476211947755,0.0,0.030071190128198828,0.0,0.0,0.058967688187259996,0.3912781932260555,0.0,0.0,0.0,0.0
mix_0023_depth100,0.0,0.0,0.0,0.20482526014598548,0.38806402977101806,0.0,0.0,0.003038703204992366,0.0,0.07425988683977856,0.3298121200382256,0.0,0.0,0.0,0.0
mix_0023_depth25,0.0,0.0,0.0,0.18874530584058957,0.4205042413170045,0.0,0.0,0.0,0.0,0.06164457259941057,0.32910588024299536,0.0,0.0,0.0,0.0
mix_0024_depth100,0.0,0.0,0.1391393955458976,0.0,0.5074454006234715,0.0,0.0,0.10830232344822606,0.0,0.004238130270953628,0.24087475011145124,0.0,0.0,0.0,0.0
mix_0024_depth25,0.0,0.0,0.14906332682980095,0.0,0.49711761588531955,0.0,0.0,0.10793090528805377,0.0,0.005333433777838888,0.2405547182189869,0.0,0.0,0.0,0.0
mix_0025_depth100,0.0,0.0,0.5195944873948483,0.0,0.19005360923321343,0.0,0.0,0.06290821592791838,0.0,0.0,0.22744368744401988,0.0,0.0,0.0,0.0
mix_0025_depth25,0.0,0.0,0.5545607666201949,0.0,0.11293795204268366,0.0,0.0,0.0579242231232173,0.0,0.026071194743615037,0.24850586347028913,0.0,0.0,0.0,0.0
mix_0026_depth100,0.0,0.0,0.6145560661782088,0.14008229623194332,0.0,0.0,0.0,0.04847374801262413,0.0,0.03875174326394223,0.11564828004996922,0.04248786626331239,0.0,0.0,0.0
mix_0026_depth25,0.0,0.0,0.6387968211055653,0.10779697464119747,0.0,0.0,0.05082446199135149,0.03735330333565089,0.0,0.0385785910190657,0.11509104460437589,0.011558803302793023,0.0,0.0,0.0
