reference_label,parent_label
B-cells,B-cells
CAFs,CAFs
Cancer Other,Cancer Epithelial
Cancer LumA,Cancer Epithelial
Cancer LumB,Cancer Epithelial
Cycling T-cells,Cycling T-cells
Endothelial,Endothelial
Myeloid,Myeloid
NK cells,NK cells
NKT cells,NKT cells
Normal Epithelial,Normal Epithelial
PVL,PVL
Plasmablasts,Plasmablasts
T cells CD4+,T cells CD4+
T cells CD8+,T cells CD8+
