"reference_label","n_unique_source_cells"
"B-cells",34
"CAFs",70
"Cancer Epithelial",1410
"Cycling T-cells",12
"Endothelial",141
"Myeloid",147
"NK cells",16
"NKT cells",11
"Normal Epithelial",16
"Plasmablasts",59
"PVL",386
"T cells CD4+",153
"T cells CD8+",63
