"reference_label","n_unique_source_cells"
"B-cells",39
"CAFs",61
"Cancer Epithelial",1396
"Cycling T-cells",13
"Endothelial",149
"Myeloid",162
"NK cells",16
"NKT cells",9
"Normal Epithelial",14
"Plasmablasts",64
"PVL",363
"T cells CD4+",154
"T cells CD8+",57
