donor_id,method,approach,depth_fraction,n_caf,cell_type,mae_pp,bias_pp
CID3948,RCTD,fine_fit_then_sum,1.0,1,CAFs,7.590182995645478,-7.590182995645478
CID3948,RCTD,fine_fit_then_sum,1.0,3,T cells,4.429387736776358,3.483787789823808
CID3948,RCTD,fine_fit_then_sum,1.0,3,CAFs,11.293709727740303,-11.293709727740303
CID3948,RCTD,coarse_reference_refit,0.25,0,T cells,27.4263596944561,-27.4263596944561
CID3948,RCTD,coarse_reference_refit,0.25,0,CAFs,0.007899496396833725,0.007899496396833725
CID3948,RCTD,coarse_reference_refit,0.25,1,T cells,12.81074496859407,-11.933377657286817
CID3948,RCTD,coarse_reference_refit,0.25,1,CAFs,7.146930725211079,-7.146930725211079
CID3948,RCTD,coarse_reference_refit,0.25,3,T cells,5.1880853762882815,-3.9054337220606485
CID3948,RCTD,coarse_reference_refit,0.25,3,CAFs,11.020830975879482,-11.020830975879482
CID3948,RCTD,coarse_reference_refit,1.0,0,T cells,27.79019140439821,-27.79019140439821
CID3948,RCTD,coarse_reference_refit,1.0,0,CAFs,0.008313662187506947,0.008313662187506947
CID3948,RCTD,coarse_reference_refit,1.0,1,T cells,10.1775570198457,-8.900657854481953
CID3948,RCTD,coarse_reference_refit,1.0,1,CAFs,7.5405449144126875,-7.5405449144126875
CID3948,RCTD,coarse_reference_refit,1.0,3,T cells,4.853605541204689,-2.1935682995984185
CID3948,RCTD,coarse_reference_refit,1.0,3,CAFs,11.197096888764136,-11.197096888764136
CID3948,NNLS,fine_fit_then_sum,0.25,0,T cells,7.143582477513912,-7.143582477513912
CID3948,NNLS,fine_fit_then_sum,0.25,0,CAFs,0.6610744887441947,0.6610744887441947
CID3948,NNLS,fine_fit_then_sum,0.25,1,T cells,6.648143495853583,2.7343446254962998
CID3948,NNLS,fine_fit_then_sum,0.25,1,CAFs,8.831899808764371,-7.766224241825044
CID3948,NNLS,fine_fit_then_sum,0.25,3,T cells,11.286358001106088,11.01371344739202
CID3948,NNLS,fine_fit_then_sum,0.25,3,CAFs,14.44172314239774,-14.44172314239774
CID3948,NNLS,fine_fit_then_sum,1.0,0,T cells,6.499596986692053,-6.499596986692053
CID3948,NNLS,fine_fit_then_sum,1.0,0,CAFs,0.5748431375199669,0.5748431375199669
CID3948,NNLS,fine_fit_then_sum,1.0,1,T cells,5.894584968526893,3.2658908659610124
CID3948,NNLS,fine_fit_then_sum,1.0,1,CAFs,8.464030267693863,-8.34167200766205
CID3948,NNLS,fine_fit_then_sum,1.0,3,T cells,11.215184831292214,11.060468420504328
CID3948,NNLS,fine_fit_then_sum,1.0,3,CAFs,14.415223520501243,-14.415223520501243
CID3948,NNLS,coarse_reference_refit,0.25,0,T cells,14.061928473717831,-14.061928473717831
CID3948,NNLS,coarse_reference_refit,0.25,0,CAFs,0.4947471105356472,0.4947471105356472
CID3948,NNLS,coarse_reference_refit,0.25,1,T cells,5.973819999955347,-2.031509467848732
CID3948,NNLS,coarse_reference_refit,0.25,1,CAFs,8.251034129035599,-7.819770811328306
CID3948,NNLS,coarse_reference_refit,0.25,3,T cells,5.886928261951674,3.391137451536557
CID3948,NNLS,coarse_reference_refit,0.25,3,CAFs,11.9412536578964,-11.9412536578964
CID3948,NNLS,coarse_reference_refit,1.0,0,T cells,12.323605575086356,-12.323605575086356
CID3948,NNLS,coarse_reference_refit,1.0,0,CAFs,0.3934779766606728,0.3934779766606728
CID3948,NNLS,coarse_reference_refit,1.0,1,T cells,5.68557809718324,-0.6992951621378249
CID3948,NNLS,coarse_reference_refit,1.0,1,CAFs,8.65247779314804,-8.65247779314804
CID3948,NNLS,coarse_reference_refit,1.0,3,T cells,5.574711238112753,3.868438474736984
CID3948,NNLS,coarse_reference_refit,1.0,3,CAFs,12.204231629867628,-12.204231629867628
CID4461,RCTD,fine_fit_then_sum,0.25,0,T cells,25.21497984431071,-25.21497984431071
CID4461,RCTD,fine_fit_then_sum,0.25,0,CAFs,0.009158874316826217,0.009158874316826217
CID4461,RCTD,fine_fit_then_sum,0.25,1,T cells,17.673307827978007,-17.673307827978007
CID4461,RCTD,fine_fit_then_sum,0.25,1,CAFs,8.109792371877331,-8.109792371877331
CID4461,RCTD,fine_fit_then_sum,0.25,3,T cells,11.925950933228528,-11.850832439430983
CID4461,RCTD,fine_fit_then_sum,0.25,3,CAFs,15.323836543040217,-15.323836543040217
CID4461,RCTD,fine_fit_then_sum,1.0,0,T cells,21.05802559137279,-21.05802559137279
CID4461,RCTD,fine_fit_then_sum,1.0,0,CAFs,0.009346092275853082,0.009346092275853082
CID4461,RCTD,fine_fit_then_sum,1.0,1,T cells,14.351302714616006,-14.351302714616006
CID4461,RCTD,fine_fit_then_sum,1.0,1,CAFs,8.429525786824904,-8.429525786824904
CID4461,RCTD,fine_fit_then_sum,1.0,3,T cells,9.881883506263751,-9.87766187393685
CID4461,RCTD,fine_fit_then_sum,1.0,3,CAFs,14.61705179658051,-14.61705179658051
CID4461,RCTD,coarse_reference_refit,0.25,0,T cells,33.61143411920221,-33.61143411920221
CID4461,RCTD,coarse_reference_refit,0.25,0,CAFs,0.06497219832237901,0.06497219832237901
CID4461,RCTD,coarse_reference_refit,0.25,1,T cells,26.072105513213245,-26.072105513213245
CID4461,RCTD,coarse_reference_refit,0.25,1,CAFs,6.780163446317943,-6.772921039108865
CID4461,RCTD,coarse_reference_refit,0.25,3,T cells,19.299222825410144,-19.299222825410144
CID4461,RCTD,coarse_reference_refit,0.25,3,CAFs,14.33728129589415,-14.33728129589415
CID4461,RCTD,coarse_reference_refit,1.0,0,T cells,29.17812737079685,-29.17812737079685
CID4461,RCTD,coarse_reference_refit,1.0,0,CAFs,0.0700051037538541,0.0700051037538541
CID4461,RCTD,coarse_reference_refit,1.0,1,T cells,23.581409052232416,-23.581409052232416
CID4461,RCTD,coarse_reference_refit,1.0,1,CAFs,7.0975327604401945,-7.0975327604401945
CID4461,RCTD,coarse_reference_refit,1.0,3,T cells,18.545408151939373,-18.545408151939373
CID4461,RCTD,coarse_reference_refit,1.0,3,CAFs,13.53879297230845,-13.53879297230845
CID4461,NNLS,fine_fit_then_sum,0.25,0,T cells,11.3706204560517,-11.3706204560517
CID4461,NNLS,fine_fit_then_sum,0.25,0,CAFs,0.0,0.0
CID4461,NNLS,fine_fit_then_sum,0.25,1,T cells,9.0296980058227,6.278996162802485
CID4461,NNLS,fine_fit_then_sum,0.25,1,CAFs,19.508462004327825,-19.508462004327825
CID4461,NNLS,fine_fit_then_sum,0.25,3,T cells,20.331226627485684,20.331226627485684
CID4461,NNLS,fine_fit_then_sum,0.25,3,CAFs,34.945609022327886,-34.945609022327886
CID4461,NNLS,fine_fit_then_sum,1.0,0,T cells,9.821651840426293,-9.821651840426293
CID4461,NNLS,fine_fit_then_sum,1.0,0,CAFs,0.0,0.0
CID4461,NNLS,fine_fit_then_sum,1.0,1,T cells,9.024610276909021,7.908939497268855
CID4461,NNLS,fine_fit_then_sum,1.0,1,CAFs,19.678342642438164,-19.678342642438164
CID4461,NNLS,fine_fit_then_sum,1.0,3,T cells,20.999041706580297,20.999041706580297
CID4461,NNLS,fine_fit_then_sum,1.0,3,CAFs,34.714799329152555,-34.714799329152555
CID4461,NNLS,coarse_reference_refit,0.25,0,T cells,59.33523043522239,-59.33523043522239
CID4461,NNLS,coarse_reference_refit,0.25,0,CAFs,0.0,0.0
CID4461,NNLS,coarse_reference_refit,0.25,1,T cells,36.894343223920465,-36.38878989325178
CID4461,NNLS,coarse_reference_refit,0.25,1,CAFs,19.320688527497296,-19.320688527497296
CID4461,NNLS,coarse_reference_refit,0.25,3,T cells,22.56853394533362,-16.362326272474917
CID4461,NNLS,coarse_reference_refit,0.25,3,CAFs,33.94357364169401,-33.94357364169401
CID4461,NNLS,coarse_reference_refit,1.0,0,T cells,52.67294289100627,-52.67294289100627
CID4461,NNLS,coarse_reference_refit,1.0,0,CAFs,0.0,0.0
CID4461,NNLS,coarse_reference_refit,1.0,1,T cells,30.83006711383652,-30.172523941174436
CID4461,NNLS,coarse_reference_refit,1.0,1,CAFs,19.57491579663621,-19.57491579663621
CID4461,NNLS,coarse_reference_refit,1.0,3,T cells,19.474159803874954,-12.9519119834544
CID4461,NNLS,coarse_reference_refit,1.0,3,CAFs,33.38179614721493,-33.38179614721493
