donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,T cells,189,2.3374979934629825,3.5174573228710337,1.6973064110426592,2.555920689037939,36,1.4092015372694182,0.5
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,T cells,189,1.9233507919973207,2.8839722882932257,1.5002058718561195,2.1650746980999194,36,0.8960241910612747,0.3333333333333333
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,T cells,189,2.0181453298342085,2.9171441175851553,-0.05022284550816487,2.396761666528354,36,0.4090258988840899,0.19444444444444445
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,T cells,189,1.6153098376971096,2.4133127790565063,0.1894614150949643,1.9597561036728866,36,0.1514132073000557,0.05555555555555555
CID4067,NNLS,fine_fit_then_sum,rna,factorial,0.25,T cells,189,5.903755159642485,8.53888274138321,3.651368522682021,6.360123802657345,36,3.964188426829337,0.6111111111111112
CID4067,NNLS,fine_fit_then_sum,rna,factorial,1.0,T cells,189,5.592081621246677,8.23637344896929,3.4637374579840725,5.953327629433168,36,4.056786086454094,0.7222222222222222
CID4067,NNLS,coarse_reference_refit,rna,factorial,0.25,T cells,189,5.83425784599138,8.23637766443216,-3.18664840785669,7.118422923673016,36,0.3765562658444274,0.05555555555555555
CID4067,NNLS,coarse_reference_refit,rna,factorial,1.0,T cells,189,5.7849095300918405,8.110557080812173,-3.3245953480420565,7.097151223948299,36,0.2078823312018861,0.05555555555555555
CID4463,RCTD,fine_fit_then_sum,rna,factorial,0.25,T cells,162,1.1895988389914571,1.8670693571174106,0.08053217792505096,1.3648135598745321,27,0.31352523457608084,0.18518518518518517
CID4463,RCTD,fine_fit_then_sum,rna,factorial,1.0,T cells,162,1.0673682319973055,1.6920280069467295,0.0332421823844201,1.2248478083314243,27,0.2799703503267116,0.18518518518518517
