"reference_label","n_unique_source_cells"
"B-cells",37
"CAFs",65
"Cancer Epithelial",1430
"Cycling T-cells",14
"Endothelial",137
"Myeloid",157
"NK cells",16
"NKT cells",9
"Normal Epithelial",15
"Plasmablasts",67
"PVL",380
"T cells CD4+",147
"T cells CD8+",65
