celltype_major,n_cells,fraction
Cancer Epithelial,2223,0.5612219136581671
PVL,592,0.1494572077758142
T-cells,396,0.09997475385003787
Myeloid,255,0.06437768240343347
Endothelial,219,0.0552890684170664
CAFs,102,0.02575107296137339
Plasmablasts,96,0.024236303963645543
B-cells,56,0.014137843978793235
Normal Epithelial,22,0.00555415299166877
