donor_id,variant,method,truth,depth_fraction,n_caf,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction,absent_ge5pct_fraction
CID3941,baseline,RCTD,rna,1.0,0,T cells CD8+,25,20.021143663528175,25.8464949923618,17.198933231124705,23.175215221879153,5,7.404857430124263,0.4,0.4
CID3941,baseline,RCTD,rna,1.0,1,T cells CD8+,25,15.321218100205847,20.72909816776531,13.316793762058028,17.365611667622165,5,7.1436438305405945,0.4,0.4
CID3941,baseline,RCTD,rna,1.0,3,T cells CD8+,25,9.434789537242116,12.645425867440924,7.020882136357013,11.238378050077774,5,2.2204354858994884,0.4,0.2
CID3948,baseline,RCTD,rna,1.0,0,T cells CD8+,25,24.288920683593943,29.03827293396667,16.52063285247837,22.323340650867436,5,32.15124081449994,0.8,0.8
CID3948,baseline,RCTD,rna,1.0,1,T cells CD8+,25,14.094788820912491,17.967825769300447,11.914967164454197,12.399403827440734,5,20.87632879479952,0.8,0.8
CID3948,baseline,RCTD,rna,1.0,3,T cells CD8+,25,7.183555013610289,10.70805983408986,5.342478821143627,7.63398876662402,5,5.381820001555364,0.2,0.2
CID4461,baseline,RCTD,rna,1.0,0,T cells CD8+,25,34.47988815473334,44.48080797087133,-34.47627122858573,43.097599614574406,5,0.0090423153690194,0.0,0.0
CID4461,baseline,RCTD,rna,1.0,1,T cells CD8+,25,28.751583737749783,36.94415190424733,-28.746777720784884,35.93647591158417,5,0.0120150424122518,0.0,0.0
CID4461,baseline,RCTD,rna,1.0,3,T cells CD8+,25,21.97372039932325,28.643452360412624,-21.969571707062688,27.46455756649121,5,0.0103717306514033,0.0,0.0
