variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction,report_donor,donor_id,n_present,n_absent
balanced_split,RCTD,rna,factorial,0.25,Normal Epithelial,189,20.46950445060464,21.792532654207257,20.46950445060464,,20.469504450604635,0.9947089947089948,CID4067,,,
balanced_split,RCTD,rna,factorial,0.25,T cells CD8+,189,1.9352806139369232,3.1127279306937448,-1.1789914781763204,2.845522071161116,0.1147976994885359,0.0317460317460317,CID4067,,,
balanced_split,RCTD,rna,factorial,0.25,Epithelial total,189,3.666872307526772,4.775935228611683,1.859323889112649,3.666872307526772,,,CID4067,,,
baseline,RCTD,rna,factorial,1.0,B-cells,162,0.2096763020110612,0.5790788962969691,0.2096763020110612,,0.2096763020110612,0.074074074074074,CID4463,CID4463,0.0,162.0
baseline,RCTD,rna,factorial,1.0,CAFs,162,1.2773780118804472,2.143335262852199,-0.7627392076877928,1.9136603624054127,0.0048133108305161,0.0,CID4463,CID4463,108.0,54.0
baseline,RCTD,rna,factorial,1.0,Cancer Epithelial,162,10.262010532956936,11.613485131564095,-10.208019163681673,10.262010532956936,,,CID4463,CID4463,162.0,0.0
baseline,RCTD,rna,factorial,1.0,Cycling T-cells,162,1.376776822106183,3.159496159142533,-0.9237405502865929,6.901552117178328,0.2718217630917541,0.074074074074074,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,1.0,Endothelial,162,0.273297498168836,0.874048931835031,-0.2589830642022498,1.6097317474299735,0.0060106483166083,0.0,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,1.0,Myeloid,162,0.581263229810815,2.192342067873931,-0.4752439719664755,3.458511073960508,0.0058136609808766,0.0,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,1.0,NK cells,162,0.3368516925044105,0.8436274232633293,0.0864677078040894,0.9070524321794904,0.2228115445693945,0.0518518518518518,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,1.0,NKT cells,162,0.4175686364954623,0.8716117321047313,0.284053772990762,0.7040636095844525,0.3602696418776643,0.1185185185185185,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,1.0,Normal Epithelial,162,12.21462602962043,13.476834094282074,12.21462602962043,,12.21462602962043,0.9629629629629628,CID4463,CID4463,0.0,162.0
baseline,RCTD,rna,factorial,1.0,PVL,162,1.3850587310640874,1.7760754565935188,-0.86938730968819,1.3850587310640874,,,CID4463,CID4463,162.0,0.0
baseline,RCTD,rna,factorial,1.0,Plasmablasts,162,0.0303604954063843,0.0575393318631412,0.0303604954063843,,0.0303604954063843,0.0,CID4463,CID4463,0.0,162.0
baseline,RCTD,rna,factorial,1.0,T cells CD4+,162,1.4275728733524378,2.783685037689858,1.362190086190474,1.7679611690033494,1.3594952142222552,0.3111111111111111,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,1.0,T cells CD8+,162,1.126145243568201,1.9062144080495271,-0.6892611265102228,1.651669191763246,0.07509734717811,0.0185185185185185,CID4463,CID4463,108.0,54.0
baseline,RCTD,rna,factorial,1.0,Epithelial total,162,2.4879472194528014,3.2401156443061225,2.0066068659387573,2.4879472194528014,,,CID4463,CID4463,162.0,0.0
donor_balanced,RCTD,rna,factorial,1.0,B-cells,162,0.258565961640592,0.7080090007550587,0.258565961640592,,0.258565961640592,0.074074074074074,CID4463,CID4463,0.0,162.0
donor_balanced,RCTD,rna,factorial,1.0,CAFs,162,1.4004502459076305,2.4464943945967503,0.7681914201995517,2.0982707506388465,0.0048092364451988,0.0,CID4463,CID4463,108.0,54.0
donor_balanced,RCTD,rna,factorial,1.0,Cancer Epithelial,162,2.9478840881852424,3.814461804165683,-1.807464387111705,2.9478840881852424,,,CID4463,CID4463,162.0,0.0
donor_balanced,RCTD,rna,factorial,1.0,Cycling T-cells,162,1.3898911555470392,3.2447702361901496,-1.0158696975079222,7.217282559164885,0.2244128748234702,0.0444444444444444,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,1.0,Endothelial,162,0.2557620340267346,0.788603329471341,-0.2460080359369857,1.505310209891161,0.0058523988538493,0.0,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,1.0,Myeloid,162,0.5880976467065303,2.2232031981768836,-0.4723434107162464,3.4964122161091686,0.0064347328260026,0.0,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,1.0,NK cells,162,0.3863740207848886,0.9181299936605076,0.1074586039539746,1.005329546291964,0.2625829156834736,0.0592592592592592,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,1.0,NKT cells,162,0.4111524440773986,0.8190207529389965,0.2575633615598594,0.665008571149928,0.3603812186628927,0.1259259259259259,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,1.0,Normal Epithelial,162,2.9687734358049047,4.002994466290351,2.9687734358049047,,2.9687734358049047,0.7160493827160493,CID4463,CID4463,0.0,162.0
donor_balanced,RCTD,rna,factorial,1.0,PVL,162,1.5489216029923825,1.92706199343082,-1.3278138936175372,1.5489216029923825,,,CID4463,CID4463,162.0,0.0
donor_balanced,RCTD,rna,factorial,1.0,Plasmablasts,162,0.0159887989653965,0.0324591198025169,0.0159887989653965,,0.0159887989653965,0.0,CID4463,CID4463,0.0,162.0
donor_balanced,RCTD,rna,factorial,1.0,T cells CD4+,162,1.4788870499779176,2.7974722037827866,1.4058181379512182,1.967084145911296,1.3812476307912422,0.3259259259259259,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,1.0,T cells CD8+,162,1.2383087874765406,2.0463956296485923,-0.9128602951851,1.8283930481662811,0.0581402660970594,0.0185185185185185,CID4463,CID4463,108.0,54.0
donor_balanced,RCTD,rna,factorial,1.0,Epithelial total,162,2.000736728505057,2.7436990641750083,1.1613090486931994,2.000736728505057,,,CID4463,CID4463,162.0,0.0
epithelial_split,RCTD,rna,factorial,1.0,B-cells,162,0.2364971589571184,0.6309979169373617,0.2364971589571184,,0.2364971589571184,0.0679012345679012,CID4463,CID4463,0.0,162.0
epithelial_split,RCTD,rna,factorial,1.0,CAFs,162,1.194834324485655,2.0153074127819117,-0.6389036100485846,1.7893476575682137,0.0058076583205379,0.0,CID4463,CID4463,108.0,54.0
